date,item_code,item_display,display_unit,median_price,price_record_count,year,month_number,month,day_of_month,date_label,item_period_median_price,price_change_from_item_median,price_position,item_order,median_price_label,item,unit,item_group,item_category,price_highlight
2026-05-08,93,"Red chili, Kulai",1 kilogram,12.99,411,2026,5,May,8,08 May,12.99,0.0,Middle range,8,RM12.99,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-09,93,"Red chili, Kulai",1 kilogram,12.945,418,2026,5,May,9,09 May,12.99,-0.3464203233256313,Middle range,8,RM12.95,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-10,93,"Red chili, Kulai",1 kilogram,12.99,407,2026,5,May,10,10 May,12.99,0.0,Middle range,8,RM12.99,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-11,93,"Red chili, Kulai",1 kilogram,13.0,556,2026,5,May,11,11 May,12.99,0.0769822940723656,Highest daily median for this item,8,RM13.00,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Highest daily median
2026-05-12,93,"Red chili, Kulai",1 kilogram,12.9,401,2026,5,May,12,12 May,12.99,-0.6928406466512769,Middle range,8,RM12.90,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-13,93,"Red chili, Kulai",1 kilogram,12.99,398,2026,5,May,13,13 May,12.99,0.0,Middle range,8,RM12.99,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-14,93,"Red chili, Kulai",1 kilogram,13.0,417,2026,5,May,14,14 May,12.99,0.0769822940723656,Highest daily median for this item,8,RM13.00,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Highest daily median
2026-05-15,93,"Red chili, Kulai",1 kilogram,12.99,409,2026,5,May,15,15 May,12.99,0.0,Middle range,8,RM12.99,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-16,93,"Red chili, Kulai",1 kilogram,13.0,412,2026,5,May,16,16 May,12.99,0.0769822940723656,Highest daily median for this item,8,RM13.00,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Highest daily median
2026-05-17,93,"Red chili, Kulai",1 kilogram,12.9,411,2026,5,May,17,17 May,12.99,-0.6928406466512769,Middle range,8,RM12.90,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-18,93,"Red chili, Kulai",1 kilogram,13.0,564,2026,5,May,18,18 May,12.99,0.0769822940723656,Highest daily median for this item,8,RM13.00,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Highest daily median
2026-05-19,93,"Red chili, Kulai",1 kilogram,13.0,407,2026,5,May,19,19 May,12.99,0.0769822940723656,Highest daily median for this item,8,RM13.00,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Highest daily median
2026-05-20,93,"Red chili, Kulai",1 kilogram,12.99,418,2026,5,May,20,20 May,12.99,0.0,Middle range,8,RM12.99,CILI MERAH - KULAI,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-03,1589,"Sugar, coarse white",1 kilogram,2.85,11,2026,5,May,3,03 May,2.85,0.0,Highest daily median for this item,9,RM2.85,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,Highest daily median
2026-05-04,1589,"Sugar, coarse white",1 kilogram,2.85,1807,2026,5,May,4,04 May,2.85,0.0,Highest daily median for this item,9,RM2.85,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,Highest daily median
2026-05-10,1589,"Sugar, coarse white",1 kilogram,2.85,12,2026,5,May,10,10 May,2.85,0.0,Highest daily median for this item,9,RM2.85,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,Highest daily median
2026-05-11,1589,"Sugar, coarse white",1 kilogram,2.85,1824,2026,5,May,11,11 May,2.85,0.0,Highest daily median for this item,9,RM2.85,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,Highest daily median
2026-05-12,1589,"Sugar, coarse white",1 kilogram,2.85,1,2026,5,May,12,12 May,2.85,0.0,Highest daily median for this item,9,RM2.85,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,Highest daily median
2026-05-14,1589,"Sugar, coarse white",1 kilogram,2.85,31,2026,5,May,14,14 May,2.85,0.0,Highest daily median for this item,9,RM2.85,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,Highest daily median
2026-05-17,1589,"Sugar, coarse white",1 kilogram,2.85,12,2026,5,May,17,17 May,2.85,0.0,Highest daily median for this item,9,RM2.85,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,Highest daily median
2026-05-18,1589,"Sugar, coarse white",1 kilogram,2.85,1789,2026,5,May,18,18 May,2.85,0.0,Highest daily median for this item,9,RM2.85,GULA PUTIH BERTAPIS KASAR (PELBAGAI JENAMA),1kg,BARANGAN BERBUNGKUS,GULA,Highest daily median
2026-05-03,917,"Wheat flour, packaged",1 kilogram,3.5,12,2026,5,May,3,03 May,3.35,4.477611940298502,Middle range,10,RM3.50,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,Normal daily median
2026-05-04,917,"Wheat flour, packaged",1 kilogram,3.2,1479,2026,5,May,4,04 May,3.35,-4.477611940298516,Lowest daily median for this item,10,RM3.20,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,Lowest daily median
2026-05-10,917,"Wheat flour, packaged",1 kilogram,3.5,12,2026,5,May,10,10 May,3.35,4.477611940298502,Middle range,10,RM3.50,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,Normal daily median
2026-05-11,917,"Wheat flour, packaged",1 kilogram,3.2,1498,2026,5,May,11,11 May,3.35,-4.477611940298516,Lowest daily median for this item,10,RM3.20,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,Lowest daily median
2026-05-12,917,"Wheat flour, packaged",1 kilogram,3.9,1,2026,5,May,12,12 May,3.35,16.4179104477612,Highest daily median for this item,10,RM3.90,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,Highest daily median
2026-05-14,917,"Wheat flour, packaged",1 kilogram,3.2,24,2026,5,May,14,14 May,3.35,-4.477611940298516,Lowest daily median for this item,10,RM3.20,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,Lowest daily median
2026-05-17,917,"Wheat flour, packaged",1 kilogram,3.5,12,2026,5,May,17,17 May,3.35,4.477611940298502,Middle range,10,RM3.50,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,Normal daily median
2026-05-18,917,"Wheat flour, packaged",1 kilogram,3.2,1500,2026,5,May,18,18 May,3.35,-4.477611940298516,Lowest daily median for this item,10,RM3.20,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)",1kg,BARANGAN BERBUNGKUS,TEPUNG,Lowest daily median
2026-05-02,1559,Water spinach,1 kilogram,5.99,766,2026,5,May,2,02 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-03,1559,Water spinach,1 kilogram,6.0,695,2026,5,May,3,03 May,5.99,0.166944908180298,Highest daily median for this item,11,RM6.00,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Highest daily median
2026-05-04,1559,Water spinach,1 kilogram,6.0,952,2026,5,May,4,04 May,5.99,0.166944908180298,Highest daily median for this item,11,RM6.00,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Highest daily median
2026-05-05,1559,Water spinach,1 kilogram,5.99,750,2026,5,May,5,05 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-06,1559,Water spinach,1 kilogram,5.99,772,2026,5,May,6,06 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-07,1559,Water spinach,1 kilogram,5.99,779,2026,5,May,7,07 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-08,1559,Water spinach,1 kilogram,5.99,795,2026,5,May,8,08 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-09,1559,Water spinach,1 kilogram,5.9,789,2026,5,May,9,09 May,5.99,-1.5025041736226967,Middle range,11,RM5.90,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-10,1559,Water spinach,1 kilogram,5.8,783,2026,5,May,10,10 May,5.99,-3.17195325542572,Middle range,11,RM5.80,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-11,1559,Water spinach,1 kilogram,5.99,999,2026,5,May,11,11 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-12,1559,Water spinach,1 kilogram,5.59,753,2026,5,May,12,12 May,5.99,-6.677796327212022,Middle range,11,RM5.59,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-13,1559,Water spinach,1 kilogram,5.58,775,2026,5,May,13,13 May,5.99,-6.84474123539232,Lowest daily median for this item,11,RM5.58,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Lowest daily median
2026-05-14,1559,Water spinach,1 kilogram,5.9,785,2026,5,May,14,14 May,5.99,-1.5025041736226967,Middle range,11,RM5.90,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-15,1559,Water spinach,1 kilogram,5.58,795,2026,5,May,15,15 May,5.99,-6.84474123539232,Lowest daily median for this item,11,RM5.58,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Lowest daily median
2026-05-16,1559,Water spinach,1 kilogram,5.895,792,2026,5,May,16,16 May,5.99,-1.585976627712867,Middle range,11,RM5.89,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-17,1559,Water spinach,1 kilogram,5.58,774,2026,5,May,17,17 May,5.99,-6.84474123539232,Lowest daily median for this item,11,RM5.58,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Lowest daily median
2026-05-18,1559,Water spinach,1 kilogram,5.99,979,2026,5,May,18,18 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-19,1559,Water spinach,1 kilogram,5.99,769,2026,5,May,19,19 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-20,1559,Water spinach,1 kilogram,5.99,798,2026,5,May,20,20 May,5.99,0.0,Middle range,11,RM5.99,KANGKUNG,1kg,BARANGAN SEGAR,SAYUR-SAYURAN,Normal daily median
2026-05-04,1619,"Milk powder, Dutch Lady",600 grams,19.9,419,2026,5,May,4,04 May,19.9,0.0,Highest daily median for this item,12,RM19.90,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,Highest daily median
2026-05-11,1619,"Milk powder, Dutch Lady",600 grams,19.9,418,2026,5,May,11,11 May,19.9,0.0,Highest daily median for this item,12,RM19.90,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,Highest daily median
2026-05-14,1619,"Milk powder, Dutch Lady",600 grams,19.9,13,2026,5,May,14,14 May,19.9,0.0,Highest daily median for this item,12,RM19.90,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,Highest daily median
2026-05-18,1619,"Milk powder, Dutch Lady",600 grams,19.9,398,2026,5,May,18,18 May,19.9,0.0,Highest daily median for this item,12,RM19.90,SUSU TEPUNG SEGERA DUTCHLADY (BIASA ),600 g,BARANGAN BERBUNGKUS,KRIMER DAN SUSU TEPUNG,Highest daily median
