state,state_display,date,year,month_number,month,date_label,division,division_name,inflation_yoy,inflation_mom,rank_highest_to_lowest,pressure_group
Johor,Johor,2015-07-01,2015,7,July,July 2015,01,Food and non-alcoholic beverages,4.8,0.5,2,Other states
Johor,Johor,2015-08-01,2015,8,August,August 2015,01,Food and non-alcoholic beverages,5.4,0.8,2,Other states
Johor,Johor,2015-09-01,2015,9,September,September 2015,01,Food and non-alcoholic beverages,5.7,0.4,2,Other states
Johor,Johor,2015-10-01,2015,10,October,October 2015,01,Food and non-alcoholic beverages,6.0,-0.2,2,Other states
Johor,Johor,2015-11-01,2015,11,November,November 2015,01,Food and non-alcoholic beverages,5.2,-0.3,2,Other states
Johor,Johor,2015-12-01,2015,12,December,December 2015,01,Food and non-alcoholic beverages,5.8,1.1,2,Other states
Johor,Johor,2016-01-01,2016,1,January,January 2016,01,Food and non-alcoholic beverages,5.0,1.0,2,Other states
Johor,Johor,2016-02-01,2016,2,February,February 2016,01,Food and non-alcoholic beverages,6.2,0.6,3,Other states
Johor,Johor,2016-03-01,2016,3,March,March 2016,01,Food and non-alcoholic beverages,6.6,0.2,2,Other states
Johor,Johor,2016-04-01,2016,4,April,April 2016,01,Food and non-alcoholic beverages,5.5,-0.1,2,Other states
Johor,Johor,2016-05-01,2016,5,May,May 2016,01,Food and non-alcoholic beverages,5.0,0.2,3,Other states
Johor,Johor,2016-06-01,2016,6,June,June 2016,01,Food and non-alcoholic beverages,5.1,0.8,3,Other states
Johor,Johor,2016-07-01,2016,7,July,July 2016,01,Food and non-alcoholic beverages,5.0,0.4,1,Highest state
Johor,Johor,2016-08-01,2016,8,August,August 2016,01,Food and non-alcoholic beverages,4.6,0.5,1,Highest state
Johor,Johor,2016-09-01,2016,9,September,September 2016,01,Food and non-alcoholic beverages,3.8,-0.4,1,Highest state
Johor,Johor,2016-10-01,2016,10,October,October 2016,01,Food and non-alcoholic beverages,3.3,-0.6,2,Other states
Johor,Johor,2016-11-01,2016,11,November,November 2016,01,Food and non-alcoholic beverages,4.4,0.8,2,Other states
Johor,Johor,2016-12-01,2016,12,December,December 2016,01,Food and non-alcoholic beverages,4.3,0.9,3,Other states
Johor,Johor,2017-01-01,2017,1,January,January 2017,01,Food and non-alcoholic beverages,4.6,1.2,3,Other states
Johor,Johor,2017-02-01,2017,2,February,February 2017,01,Food and non-alcoholic beverages,4.8,0.8,3,Other states
Johor,Johor,2017-03-01,2017,3,March,March 2017,01,Food and non-alcoholic beverages,4.0,-0.6,5,Other states
Johor,Johor,2017-04-01,2017,4,April,April 2017,01,Food and non-alcoholic beverages,4.4,0.3,4,Other states
Johor,Johor,2017-05-01,2017,5,May,May 2017,01,Food and non-alcoholic beverages,4.5,0.4,5,Other states
Johor,Johor,2017-06-01,2017,6,June,June 2017,01,Food and non-alcoholic beverages,4.7,0.9,1,Highest state
Johor,Johor,2017-07-01,2017,7,July,July 2017,01,Food and non-alcoholic beverages,4.6,0.3,2,Other states
Johor,Johor,2017-08-01,2017,8,August,August 2017,01,Food and non-alcoholic beverages,4.6,0.4,2,Other states
Johor,Johor,2017-09-01,2017,9,September,September 2017,01,Food and non-alcoholic beverages,4.8,-0.1,5,Other states
Johor,Johor,2017-10-01,2017,10,October,October 2017,01,Food and non-alcoholic beverages,5.1,-0.3,1,Highest state
Johor,Johor,2017-11-01,2017,11,November,November 2017,01,Food and non-alcoholic beverages,4.7,0.4,1,Highest state
Johor,Johor,2017-12-01,2017,12,December,December 2017,01,Food and non-alcoholic beverages,4.5,0.7,3,Other states
Johor,Johor,2018-01-01,2018,1,January,January 2018,01,Food and non-alcoholic beverages,4.0,0.7,4,Other states
Johor,Johor,2018-02-01,2018,2,February,February 2018,01,Food and non-alcoholic beverages,3.6,0.4,2,Other states
Johor,Johor,2018-03-01,2018,3,March,March 2018,01,Food and non-alcoholic beverages,3.4,-0.8,2,Other states
Johor,Johor,2018-04-01,2018,4,April,April 2018,01,Food and non-alcoholic beverages,2.6,-0.5,3,Other states
Johor,Johor,2018-05-01,2018,5,May,May 2018,01,Food and non-alcoholic beverages,2.3,0.1,3,Other states
Johor,Johor,2018-06-01,2018,6,June,June 2018,01,Food and non-alcoholic beverages,0.6,-0.8,5,Other states
Johor,Johor,2018-07-01,2018,7,July,July 2018,01,Food and non-alcoholic beverages,0.7,0.4,3,Other states
Johor,Johor,2018-08-01,2018,8,August,August 2018,01,Food and non-alcoholic beverages,0.4,0.1,3,Other states
Johor,Johor,2018-09-01,2018,9,September,September 2018,01,Food and non-alcoholic beverages,0.4,-0.1,5,Other states
Johor,Johor,2018-10-01,2018,10,October,October 2018,01,Food and non-alcoholic beverages,1.0,0.3,5,Other states
Johor,Johor,2018-11-01,2018,11,November,November 2018,01,Food and non-alcoholic beverages,1.0,0.4,6,Other states
Johor,Johor,2018-12-01,2018,12,December,December 2018,01,Food and non-alcoholic beverages,0.4,0.2,10,Other states
Johor,Johor,2019-01-01,2019,1,January,January 2019,01,Food and non-alcoholic beverages,1.1,1.4,5,Other states
