state,state_display,date,date_number,year,month_number,month,month_short,year_month,division,division_name,inflation_yoy,inflation_mom,pressure_level,average_food_inflation_all_years
Johor,Johor,2014-10-01,201410,2014,10,October,Oct,2014-10,01,Food and non-alcoholic beverages,3.0,-0.4,Moderate pressure,3.423
Johor,Johor,2014-11-01,201411,2014,11,November,Nov,2014-11,01,Food and non-alcoholic beverages,3.2,0.4,Moderate pressure,3.423
Johor,Johor,2014-12-01,201412,2014,12,December,Dec,2014-12,01,Food and non-alcoholic beverages,2.2,0.4,Moderate pressure,3.423
Johor,Johor,2015-01-01,201501,2015,1,January,Jan,2015-01,01,Food and non-alcoholic beverages,3.6,1.8,Moderate pressure,3.423
Johor,Johor,2015-02-01,201502,2015,2,February,Feb,2015-02,01,Food and non-alcoholic beverages,3.2,-0.5,Moderate pressure,3.423
Johor,Johor,2015-03-01,201503,2015,3,March,Mar,2015-03,01,Food and non-alcoholic beverages,2.8,-0.3,Moderate pressure,3.423
Johor,Johor,2015-04-01,201504,2015,4,April,Apr,2015-04,01,Food and non-alcoholic beverages,3.8,1.0,Moderate pressure,3.423
Johor,Johor,2015-05-01,201505,2015,5,May,May,2015-05,01,Food and non-alcoholic beverages,4.7,0.7,Moderate pressure,3.423
Johor,Johor,2015-06-01,201506,2015,6,June,Jun,2015-06,01,Food and non-alcoholic beverages,4.8,0.7,Moderate pressure,3.423
Johor,Johor,2015-07-01,201507,2015,7,July,Jul,2015-07,01,Food and non-alcoholic beverages,4.8,0.5,Moderate pressure,3.423
Johor,Johor,2015-08-01,201508,2015,8,August,Aug,2015-08,01,Food and non-alcoholic beverages,5.4,0.8,High pressure,3.423
Johor,Johor,2015-09-01,201509,2015,9,September,Sep,2015-09,01,Food and non-alcoholic beverages,5.7,0.4,High pressure,3.423
Johor,Johor,2015-10-01,201510,2015,10,October,Oct,2015-10,01,Food and non-alcoholic beverages,6.0,-0.2,High pressure,3.423
Johor,Johor,2015-11-01,201511,2015,11,November,Nov,2015-11,01,Food and non-alcoholic beverages,5.2,-0.3,High pressure,3.423
Johor,Johor,2015-12-01,201512,2015,12,December,Dec,2015-12,01,Food and non-alcoholic beverages,5.8,1.1,High pressure,3.423
Johor,Johor,2016-01-01,201601,2016,1,January,Jan,2016-01,01,Food and non-alcoholic beverages,5.0,1.0,High pressure,3.423
Johor,Johor,2016-02-01,201602,2016,2,February,Feb,2016-02,01,Food and non-alcoholic beverages,6.2,0.6,High pressure,3.423
Johor,Johor,2016-03-01,201603,2016,3,March,Mar,2016-03,01,Food and non-alcoholic beverages,6.6,0.2,High pressure,3.423
Johor,Johor,2016-04-01,201604,2016,4,April,Apr,2016-04,01,Food and non-alcoholic beverages,5.5,-0.1,High pressure,3.423
Johor,Johor,2016-05-01,201605,2016,5,May,May,2016-05,01,Food and non-alcoholic beverages,5.0,0.2,High pressure,3.423
Johor,Johor,2016-06-01,201606,2016,6,June,Jun,2016-06,01,Food and non-alcoholic beverages,5.1,0.8,High pressure,3.423
Johor,Johor,2016-07-01,201607,2016,7,July,Jul,2016-07,01,Food and non-alcoholic beverages,5.0,0.4,High pressure,3.423
Johor,Johor,2016-08-01,201608,2016,8,August,Aug,2016-08,01,Food and non-alcoholic beverages,4.6,0.5,Moderate pressure,3.423
Johor,Johor,2016-09-01,201609,2016,9,September,Sep,2016-09,01,Food and non-alcoholic beverages,3.8,-0.4,Moderate pressure,3.423
Johor,Johor,2016-10-01,201610,2016,10,October,Oct,2016-10,01,Food and non-alcoholic beverages,3.3,-0.6,Moderate pressure,3.423
Johor,Johor,2016-11-01,201611,2016,11,November,Nov,2016-11,01,Food and non-alcoholic beverages,4.4,0.8,Moderate pressure,3.423
Johor,Johor,2016-12-01,201612,2016,12,December,Dec,2016-12,01,Food and non-alcoholic beverages,4.3,0.9,Moderate pressure,3.423
Johor,Johor,2017-01-01,201701,2017,1,January,Jan,2017-01,01,Food and non-alcoholic beverages,4.6,1.2,Moderate pressure,3.423
Johor,Johor,2017-02-01,201702,2017,2,February,Feb,2017-02,01,Food and non-alcoholic beverages,4.8,0.8,Moderate pressure,3.423
Johor,Johor,2017-03-01,201703,2017,3,March,Mar,2017-03,01,Food and non-alcoholic beverages,4.0,-0.6,Moderate pressure,3.423
Johor,Johor,2017-04-01,201704,2017,4,April,Apr,2017-04,01,Food and non-alcoholic beverages,4.4,0.3,Moderate pressure,3.423
Johor,Johor,2017-05-01,201705,2017,5,May,May,2017-05,01,Food and non-alcoholic beverages,4.5,0.4,Moderate pressure,3.423
Johor,Johor,2017-06-01,201706,2017,6,June,Jun,2017-06,01,Food and non-alcoholic beverages,4.7,0.9,Moderate pressure,3.423
Johor,Johor,2017-07-01,201707,2017,7,July,Jul,2017-07,01,Food and non-alcoholic beverages,4.6,0.3,Moderate pressure,3.423
Johor,Johor,2017-08-01,201708,2017,8,August,Aug,2017-08,01,Food and non-alcoholic beverages,4.6,0.4,Moderate pressure,3.423
Johor,Johor,2017-09-01,201709,2017,9,September,Sep,2017-09,01,Food and non-alcoholic beverages,4.8,-0.1,Moderate pressure,3.423
Johor,Johor,2017-10-01,201710,2017,10,October,Oct,2017-10,01,Food and non-alcoholic beverages,5.1,-0.3,High pressure,3.423
Johor,Johor,2017-11-01,201711,2017,11,November,Nov,2017-11,01,Food and non-alcoholic beverages,4.7,0.4,Moderate pressure,3.423
Johor,Johor,2017-12-01,201712,2017,12,December,Dec,2017-12,01,Food and non-alcoholic beverages,4.5,0.7,Moderate pressure,3.423
Johor,Johor,2018-01-01,201801,2018,1,January,Jan,2018-01,01,Food and non-alcoholic beverages,4.0,0.7,Moderate pressure,3.423
Johor,Johor,2018-02-01,201802,2018,2,February,Feb,2018-02,01,Food and non-alcoholic beverages,3.6,0.4,Moderate pressure,3.423
Johor,Johor,2018-03-01,201803,2018,3,March,Mar,2018-03,01,Food and non-alcoholic beverages,3.4,-0.8,Moderate pressure,3.423
Johor,Johor,2018-04-01,201804,2018,4,April,Apr,2018-04,01,Food and non-alcoholic beverages,2.6,-0.5,Moderate pressure,3.423
Johor,Johor,2018-05-01,201805,2018,5,May,May,2018-05,01,Food and non-alcoholic beverages,2.3,0.1,Moderate pressure,3.423
Johor,Johor,2018-06-01,201806,2018,6,June,Jun,2018-06,01,Food and non-alcoholic beverages,0.6,-0.8,Low pressure,3.423
Johor,Johor,2018-07-01,201807,2018,7,July,Jul,2018-07,01,Food and non-alcoholic beverages,0.7,0.4,Low pressure,3.423
Johor,Johor,2018-08-01,201808,2018,8,August,Aug,2018-08,01,Food and non-alcoholic beverages,0.4,0.1,Low pressure,3.423
Johor,Johor,2018-09-01,201809,2018,9,September,Sep,2018-09,01,Food and non-alcoholic beverages,0.4,-0.1,Low pressure,3.423
Johor,Johor,2018-10-01,201810,2018,10,October,Oct,2018-10,01,Food and non-alcoholic beverages,1.0,0.3,Low pressure,3.423
Johor,Johor,2018-11-01,201811,2018,11,November,Nov,2018-11,01,Food and non-alcoholic beverages,1.0,0.4,Low pressure,3.423
