state,map_state,date,year,month_number,month,division,division_name,inflation_yoy,inflation_mom
Perak,Perak,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,2.2,0.4
Perlis,Perlis,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,2.5,0.1
Pulau Pinang,Penang,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,4.1,0.3
Sabah,Sabah,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,1.1,0.2
Sarawak,Sarawak,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,3.1,0.4
Selangor,Selangor,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,3.8,0.3
Terengganu,Terengganu,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,3.0,-0.4
W.P. Kuala Lumpur,Kuala Lumpur,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,3.0,0.0
W.P. Labuan,Labuan,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,-0.6,0.3
W.P. Putrajaya,Putrajaya,2014-09-01,2014,9,September,01,Food and non-alcoholic beverages,4.3,0.3
Johor,Johor,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,3.0,-0.4
Kedah,Kedah,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,2.7,-0.3
Kelantan,Kelantan,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,3.5,-0.2
Melaka,Melaka,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,2.9,-0.7
Negeri Sembilan,Negeri Sembilan,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,2.9,0.0
Pahang,Pahang,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,3.1,-0.2
Perak,Perak,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,1.9,-0.2
Perlis,Perlis,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,-0.2,-0.5
Pulau Pinang,Penang,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,3.5,-0.2
Sabah,Sabah,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,1.1,0.2
Sarawak,Sarawak,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,2.5,-0.4
Selangor,Selangor,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,3.6,-0.1
Terengganu,Terengganu,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,2.7,-0.2
W.P. Kuala Lumpur,Kuala Lumpur,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,2.9,-0.1
W.P. Labuan,Labuan,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,-0.3,0.5
W.P. Putrajaya,Putrajaya,2014-10-01,2014,10,October,01,Food and non-alcoholic beverages,3.8,-0.4
Johor,Johor,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,3.2,0.4
Kedah,Kedah,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,2.8,0.1
Kelantan,Kelantan,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,3.0,-0.2
Melaka,Melaka,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,2.6,0.2
Negeri Sembilan,Negeri Sembilan,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,3.0,0.2
Pahang,Pahang,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,2.8,0.0
Perak,Perak,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,1.9,0.2
Perlis,Perlis,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,1.0,0.6
Pulau Pinang,Penang,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,3.9,0.5
Sabah,Sabah,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,0.7,0.2
Sarawak,Sarawak,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,2.0,0.3
Selangor,Selangor,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,3.7,0.2
Terengganu,Terengganu,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,2.2,0.0
W.P. Kuala Lumpur,Kuala Lumpur,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,3.5,0.3
W.P. Labuan,Labuan,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,0.6,0.4
W.P. Putrajaya,Putrajaya,2014-11-01,2014,11,November,01,Food and non-alcoholic beverages,4.0,0.1
Johor,Johor,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,2.2,0.4
Kedah,Kedah,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,2.2,0.5
Kelantan,Kelantan,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,2.9,1.1
Melaka,Melaka,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,2.0,0.6
Negeri Sembilan,Negeri Sembilan,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,2.7,0.7
Pahang,Pahang,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,1.5,0.6
Perak,Perak,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,1.3,0.3
Perlis,Perlis,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,0.6,0.6
Pulau Pinang,Penang,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,3.1,0.2
Sabah,Sabah,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,1.1,0.4
Sarawak,Sarawak,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,2.1,0.3
Selangor,Selangor,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,3.1,0.2
Terengganu,Terengganu,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,1.5,0.6
W.P. Kuala Lumpur,Kuala Lumpur,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,3.0,0.2
W.P. Labuan,Labuan,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,1.1,0.2
W.P. Putrajaya,Putrajaya,2014-12-01,2014,12,December,01,Food and non-alcoholic beverages,3.0,0.2
Johor,Johor,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,3.6,1.8
Kedah,Kedah,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,2.3,0.9
Kelantan,Kelantan,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,3.0,0.8
Melaka,Melaka,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,3.4,1.6
Negeri Sembilan,Negeri Sembilan,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,3.9,1.3
Pahang,Pahang,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,2.9,1.8
Perak,Perak,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,2.4,1.3
Perlis,Perlis,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,0.4,0.1
Pulau Pinang,Penang,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,3.4,1.2
Sabah,Sabah,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,0.5,0.1
Sarawak,Sarawak,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,1.1,0.9
Selangor,Selangor,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,3.5,1.5
Terengganu,Terengganu,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,2.2,1.1
W.P. Kuala Lumpur,Kuala Lumpur,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,3.7,1.3
W.P. Labuan,Labuan,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,1.2,0.1
W.P. Putrajaya,Putrajaya,2015-01-01,2015,1,January,01,Food and non-alcoholic beverages,3.4,0.9
Johor,Johor,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,3.2,-0.5
Kedah,Kedah,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,1.7,-0.4
Kelantan,Kelantan,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,3.1,-0.3
Melaka,Melaka,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,3.0,-0.3
Negeri Sembilan,Negeri Sembilan,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,3.5,-0.6
Pahang,Pahang,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,2.1,-0.9
Perak,Perak,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,2.2,-0.4
Perlis,Perlis,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,1.2,0.2
Pulau Pinang,Penang,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,2.8,-0.4
Sabah,Sabah,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,0.9,0.5
Sarawak,Sarawak,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,2.4,1.0
Selangor,Selangor,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,3.2,-0.3
Terengganu,Terengganu,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,2.2,-0.3
W.P. Kuala Lumpur,Kuala Lumpur,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,3.8,-0.3
W.P. Labuan,Labuan,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,1.5,0.6
W.P. Putrajaya,Putrajaya,2015-02-01,2015,2,February,01,Food and non-alcoholic beverages,3.3,0.1
Johor,Johor,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,2.8,-0.3
Kedah,Kedah,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,1.4,-0.1
Kelantan,Kelantan,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,2.2,-0.8
Melaka,Melaka,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,2.1,-0.6
Negeri Sembilan,Negeri Sembilan,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,3.4,0.0
Pahang,Pahang,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,1.9,-0.2
Perak,Perak,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,2.0,-0.1
Perlis,Perlis,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,0.6,-0.2
Pulau Pinang,Penang,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,2.3,-0.3
Sabah,Sabah,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,1.1,-0.2
Sarawak,Sarawak,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,2.0,-0.5
Selangor,Selangor,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,2.8,-0.3
Terengganu,Terengganu,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,1.5,-0.8
W.P. Kuala Lumpur,Kuala Lumpur,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,3.1,-0.3
W.P. Labuan,Labuan,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,1.7,0.1
W.P. Putrajaya,Putrajaya,2015-03-01,2015,3,March,01,Food and non-alcoholic beverages,2.8,0.0
Johor,Johor,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,3.8,1.0
Kedah,Kedah,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,1.6,0.0
Kelantan,Kelantan,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,3.0,0.7
Melaka,Melaka,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,2.7,0.3
Negeri Sembilan,Negeri Sembilan,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,3.6,0.5
Pahang,Pahang,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,2.5,0.7
Perak,Perak,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,3.0,0.6
Perlis,Perlis,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,2.1,1.0
Pulau Pinang,Penang,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,3.4,1.3
Sabah,Sabah,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,2.4,0.8
Sarawak,Sarawak,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,2.7,0.8
Selangor,Selangor,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,4.1,1.3
Terengganu,Terengganu,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,2.3,0.6
W.P. Kuala Lumpur,Kuala Lumpur,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,4.2,1.1
W.P. Labuan,Labuan,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,2.0,-0.1
W.P. Putrajaya,Putrajaya,2015-04-01,2015,4,April,01,Food and non-alcoholic beverages,2.6,0.4
Johor,Johor,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,4.7,0.7
Kedah,Kedah,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,2.6,0.6
Kelantan,Kelantan,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,3.5,0.8
Melaka,Melaka,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,3.6,0.6
Negeri Sembilan,Negeri Sembilan,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,4.2,0.7
Pahang,Pahang,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,3.0,0.6
Perak,Perak,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,3.4,0.5
Perlis,Perlis,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,2.6,-0.2
Pulau Pinang,Penang,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,3.6,0.1
Sabah,Sabah,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,2.5,-0.1
Sarawak,Sarawak,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,3.4,0.1
Selangor,Selangor,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,3.5,-0.1
Terengganu,Terengganu,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,2.6,0.5
W.P. Kuala Lumpur,Kuala Lumpur,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,4.4,0.3
W.P. Labuan,Labuan,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,1.8,-0.6
W.P. Putrajaya,Putrajaya,2015-05-01,2015,5,May,01,Food and non-alcoholic beverages,3.3,0.8
Johor,Johor,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,4.8,0.7
Kedah,Kedah,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,2.0,0.0
Kelantan,Kelantan,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,3.2,0.3
Melaka,Melaka,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,3.4,0.8
Negeri Sembilan,Negeri Sembilan,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,4.2,0.4
Pahang,Pahang,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,2.9,0.3
Perak,Perak,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,2.9,0.2
Perlis,Perlis,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,2.6,0.6
Pulau Pinang,Penang,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,3.8,0.5
Sabah,Sabah,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,2.2,0.1
Sarawak,Sarawak,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,3.4,0.2
Selangor,Selangor,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,3.6,0.7
Terengganu,Terengganu,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,1.9,0.2
W.P. Kuala Lumpur,Kuala Lumpur,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,3.8,0.3
W.P. Labuan,Labuan,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,2.0,0.4
W.P. Putrajaya,Putrajaya,2015-06-01,2015,6,June,01,Food and non-alcoholic beverages,2.4,0.1
Johor,Johor,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,4.8,0.5
Kedah,Kedah,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,2.6,1.0
Kelantan,Kelantan,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,3.6,1.7
Melaka,Melaka,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,3.5,0.4
Negeri Sembilan,Negeri Sembilan,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,4.8,0.8
Pahang,Pahang,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,3.5,0.3
Perak,Perak,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,3.1,0.5
Perlis,Perlis,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,3.3,0.9
Pulau Pinang,Penang,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,4.1,0.7
Sabah,Sabah,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,2.6,0.3
Sarawak,Sarawak,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,4.1,0.7
Selangor,Selangor,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,4.3,0.8
Terengganu,Terengganu,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,2.8,1.6
W.P. Kuala Lumpur,Kuala Lumpur,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,3.9,0.9
W.P. Labuan,Labuan,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,2.7,0.6
W.P. Putrajaya,Putrajaya,2015-07-01,2015,7,July,01,Food and non-alcoholic beverages,5.1,2.6
Johor,Johor,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,5.4,0.8
Kedah,Kedah,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,3.0,0.3
Kelantan,Kelantan,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,3.1,-0.6
Melaka,Melaka,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,3.8,0.5
Negeri Sembilan,Negeri Sembilan,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,5.1,0.7
Pahang,Pahang,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,4.1,0.8
Perak,Perak,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,3.8,0.4
Perlis,Perlis,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,3.2,-0.1
Pulau Pinang,Penang,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,4.8,0.8
Sabah,Sabah,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,2.8,0.3
Sarawak,Sarawak,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,4.3,0.6
Selangor,Selangor,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,4.9,0.6
Terengganu,Terengganu,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,2.5,-0.5
W.P. Kuala Lumpur,Kuala Lumpur,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,4.7,0.8
W.P. Labuan,Labuan,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,3.3,0.7
W.P. Putrajaya,Putrajaya,2015-08-01,2015,8,August,01,Food and non-alcoholic beverages,5.6,0.4
Johor,Johor,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,5.7,0.4
Kedah,Kedah,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,3.4,0.8
Kelantan,Kelantan,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,3.2,-0.1
Melaka,Melaka,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,4.2,0.7
Negeri Sembilan,Negeri Sembilan,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,5.4,0.7
Pahang,Pahang,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,4.2,0.3
Perak,Perak,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,3.9,0.5
Perlis,Perlis,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,3.6,0.4
Pulau Pinang,Penang,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,5.1,0.6
Sabah,Sabah,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,2.0,-0.5
Sarawak,Sarawak,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,4.0,0.1
Selangor,Selangor,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,4.8,0.2
Terengganu,Terengganu,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,3.2,0.3
W.P. Kuala Lumpur,Kuala Lumpur,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,4.8,0.1
W.P. Labuan,Labuan,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,3.0,0.0
W.P. Putrajaya,Putrajaya,2015-09-01,2015,9,September,01,Food and non-alcoholic beverages,5.8,0.6
Johor,Johor,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,6.0,-0.2
Kedah,Kedah,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,3.7,0.1
Kelantan,Kelantan,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,3.2,-0.2
Melaka,Melaka,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,4.4,-0.5
Negeri Sembilan,Negeri Sembilan,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,5.3,-0.1
Pahang,Pahang,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,4.8,0.3
Perak,Perak,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,4.2,0.1
Perlis,Perlis,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,3.9,-0.2
Pulau Pinang,Penang,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,5.7,0.4
Sabah,Sabah,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,2.5,0.6
Sarawak,Sarawak,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,4.6,0.2
Selangor,Selangor,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,4.9,0.1
Terengganu,Terengganu,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,3.0,-0.3
W.P. Kuala Lumpur,Kuala Lumpur,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,5.2,0.3
W.P. Labuan,Labuan,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,2.6,0.2
W.P. Putrajaya,Putrajaya,2015-10-01,2015,10,October,01,Food and non-alcoholic beverages,6.1,-0.2
Johor,Johor,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,5.2,-0.3
Kedah,Kedah,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,3.4,-0.3
Kelantan,Kelantan,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,3.3,-0.1
Melaka,Melaka,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,4.2,0.0
Negeri Sembilan,Negeri Sembilan,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,5.1,0.0
Pahang,Pahang,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,4.3,-0.5
Perak,Perak,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,3.7,-0.3
Perlis,Perlis,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,3.6,0.4
Pulau Pinang,Penang,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,5.0,-0.2
Sabah,Sabah,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,1.9,-0.4
Sarawak,Sarawak,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,4.5,0.2
Selangor,Selangor,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,4.3,-0.4
Terengganu,Terengganu,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,2.6,-0.3
W.P. Kuala Lumpur,Kuala Lumpur,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,4.7,-0.3
W.P. Labuan,Labuan,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,2.1,-0.1
W.P. Putrajaya,Putrajaya,2015-11-01,2015,11,November,01,Food and non-alcoholic beverages,6.1,0.1
Johor,Johor,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,5.8,1.1
Kedah,Kedah,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,3.4,0.5
Kelantan,Kelantan,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,2.7,0.5
Melaka,Melaka,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,4.6,1.0
Negeri Sembilan,Negeri Sembilan,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,5.4,0.9
Pahang,Pahang,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,5.1,1.4
Perak,Perak,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,4.1,0.6
Perlis,Perlis,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,3.3,0.3
Pulau Pinang,Penang,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,5.2,0.4
Sabah,Sabah,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,1.9,0.3
Sarawak,Sarawak,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,4.6,0.4
Selangor,Selangor,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,5.2,1.0
Terengganu,Terengganu,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,3.1,1.0
W.P. Kuala Lumpur,Kuala Lumpur,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,5.3,0.8
W.P. Labuan,Labuan,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,2.2,0.3
W.P. Putrajaya,Putrajaya,2015-12-01,2015,12,December,01,Food and non-alcoholic beverages,6.3,0.3
Johor,Johor,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,5.0,1.0
Kedah,Kedah,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,3.2,0.7
Kelantan,Kelantan,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,2.8,0.8
Melaka,Melaka,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,3.9,1.0
Negeri Sembilan,Negeri Sembilan,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,4.5,0.5
Pahang,Pahang,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,3.6,0.3
Perak,Perak,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,3.3,0.6
Perlis,Perlis,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,4.1,0.9
Pulau Pinang,Penang,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,5.0,1.0
Sabah,Sabah,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,1.9,0.2
Sarawak,Sarawak,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,4.3,0.6
Selangor,Selangor,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,4.2,0.6
Terengganu,Terengganu,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,2.9,0.9
W.P. Kuala Lumpur,Kuala Lumpur,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,4.1,0.2
W.P. Labuan,Labuan,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,2.0,-0.1
W.P. Putrajaya,Putrajaya,2016-01-01,2016,1,January,01,Food and non-alcoholic beverages,6.3,1.0
Johor,Johor,2016-02-01,2016,2,February,01,Food and non-alcoholic beverages,6.2,0.6
Kedah,Kedah,2016-02-01,2016,2,February,01,Food and non-alcoholic beverages,3.9,0.3
Kelantan,Kelantan,2016-02-01,2016,2,February,01,Food and non-alcoholic beverages,3.7,0.7
Melaka,Melaka,2016-02-01,2016,2,February,01,Food and non-alcoholic beverages,4.9,0.7
Negeri Sembilan,Negeri Sembilan,2016-02-01,2016,2,February,01,Food and non-alcoholic beverages,5.8,0.7
Pahang,Pahang,2016-02-01,2016,2,February,01,Food and non-alcoholic beverages,5.1,0.6
Perak,Perak,2016-02-01,2016,2,February,01,Food and non-alcoholic beverages,4.3,0.5
Perlis,Perlis,2016-02-01,2016,2,February,01,Food and non-alcoholic beverages,4.9,1.0
