state,map_state,date,year,month_number,month,division,division_name,inflation_yoy,inflation_mom
Perak,Perak,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,4.6,0.3
Perlis,Perlis,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,5.0,0.2
Pulau Pinang,Penang,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,5.7,0.2
Sabah,Sabah,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,4.9,0.3
Sarawak,Sarawak,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,3.3,-0.1
Selangor,Selangor,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,5.2,0.2
Terengganu,Terengganu,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,6.3,0.8
W.P. Kuala Lumpur,Kuala Lumpur,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,3.9,0.0
W.P. Labuan,Labuan,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,1.8,-0.1
W.P. Putrajaya,Putrajaya,2011-04-01,2011,4,April,01,Food and non-alcoholic beverages,3.4,0.3
Johor,Johor,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,4.5,0.1
Kedah,Kedah,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,3.8,0.1
Kelantan,Kelantan,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,6.5,0.5
Melaka,Melaka,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,4.5,0.0
Negeri Sembilan,Negeri Sembilan,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,5.9,0.1
Pahang,Pahang,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,4.3,0.1
Perak,Perak,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,4.2,0.0
Perlis,Perlis,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,4.6,-0.2
Pulau Pinang,Penang,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,5.3,0.0
Sabah,Sabah,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,4.9,-0.3
Sarawak,Sarawak,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,3.1,0.0
Selangor,Selangor,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,4.7,0.0
Terengganu,Terengganu,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,5.4,-0.1
W.P. Kuala Lumpur,Kuala Lumpur,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,3.5,0.1
W.P. Labuan,Labuan,2011-05-01,2011,5,May,01,Food and non-alcoholic beverages,2.3,0.3
