state,state_display,map_state,year,date,crop_type,crop_group,crop_order,planted_area,production,production_thousand_tonnes,total_production_for_crop_year,production_share_percent,production_rank
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2019,2019-01-01,all_food_crops,All food crops,0,10787.0,113031.2,113.0312,5531450.5,2.0434278495306066,12
Melaka,Melaka,Melaka,2019,2019-01-01,all_food_crops,All food crops,0,9101.300000000001,49734.2,49.734199999999994,5531450.5,0.8991167868174903,13
W.P. Labuan,Labuan,Labuan,2019,2019-01-01,all_food_crops,All food crops,0,326.9,1227.2,1.2272,5531450.5,0.022185862460488436,14
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2019,2019-01-01,all_food_crops,All food crops,0,0.0,0.0,0.0,5531450.5,0.0,15
Kedah,Kedah,Kedah,2020,2020-01-01,all_food_crops,All food crops,0,229987.8,1000215.0,1000.215,5559540.2,17.990966231344093,1
Johor,Johor,Johor,2020,2020-01-01,all_food_crops,All food crops,0,75447.3,898282.7999999999,898.2828,5559540.2,16.15750165814072,2
Kelantan,Kelantan,Kelantan,2020,2020-01-01,all_food_crops,All food crops,0,110014.5,661122.7,661.1227,5559540.2,11.891679459391263,3
Pahang,Pahang,Pahang,2020,2020-01-01,all_food_crops,All food crops,0,56921.0,638687.8999999999,638.6878999999999,5559540.2,11.488142490632587,4
Perak,Perak,Perak,2020,2020-01-01,all_food_crops,All food crops,0,102083.4,526920.9,526.9209000000001,5559540.2,9.477778396134271,5
Sarawak,Sarawak,Sarawak,2020,2020-01-01,all_food_crops,All food crops,0,146948.09999999998,461354.39999999997,461.35439999999994,5559540.2,8.298427269219133,6
Sabah,Sabah,Sabah,2020,2020-01-01,all_food_crops,All food crops,0,81661.3,344443.0,344.443,5559540.2,6.195530342599195,7
Selangor,Selangor,Selangor,2020,2020-01-01,all_food_crops,All food crops,0,51024.9,332850.9,332.8509,5559540.2,5.987022092222663,8
Perlis,Perlis,Perlis,2020,2020-01-01,all_food_crops,All food crops,0,54224.2,217310.0,217.31,5559540.2,3.908776484789156,9
Pulau Pinang,Penang,Penang,2020,2020-01-01,all_food_crops,All food crops,0,27718.0,156196.80000000002,156.19680000000002,5559540.2,2.809527305873245,10
Terengganu,Terengganu,Terengganu,2020,2020-01-01,all_food_crops,All food crops,0,32340.899999999998,137248.5,137.2485,5559540.2,2.4687023577957037,11
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2020,2020-01-01,all_food_crops,All food crops,0,10893.7,117142.29999999999,117.14229999999999,5559540.2,2.1070501477802064,12
Melaka,Melaka,Melaka,2020,2020-01-01,all_food_crops,All food crops,0,11911.5,66616.3,66.61630000000001,5559540.2,1.198233983450646,13
W.P. Labuan,Labuan,Labuan,2020,2020-01-01,all_food_crops,All food crops,0,191.9,1148.6999999999998,1.1486999999999998,5559540.2,0.02066178062711013,14
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2020,2020-01-01,all_food_crops,All food crops,0,0.0,0.0,0.0,5559540.2,0.0,15
Johor,Johor,Johor,2021,2021-01-01,all_food_crops,All food crops,0,84216.3,1022278.2999999999,1022.2783,5837242.600000001,17.513034322061582,1
Kedah,Kedah,Kedah,2021,2021-01-01,all_food_crops,All food crops,0,228241.1,1004164.8,1004.1648,5837242.600000001,17.202725136008564,2
Pahang,Pahang,Pahang,2021,2021-01-01,all_food_crops,All food crops,0,62175.5,713801.8,713.8018000000001,5837242.600000001,12.22840729628061,3
Kelantan,Kelantan,Kelantan,2021,2021-01-01,all_food_crops,All food crops,0,110378.9,692893.8,692.8938,5837242.600000001,11.870224478934626,4
Perak,Perak,Perak,2021,2021-01-01,all_food_crops,All food crops,0,101957.0,577425.9,577.4259000000001,5837242.600000001,9.892100424265388,5
Sarawak,Sarawak,Sarawak,2021,2021-01-01,all_food_crops,All food crops,0,138640.5,381130.10000000003,381.1301,5837242.600000001,6.529283192718426,6
Sabah,Sabah,Sabah,2021,2021-01-01,all_food_crops,All food crops,0,81883.59999999999,338825.0,338.825,5837242.600000001,5.8045386018391625,7
Selangor,Selangor,Selangor,2021,2021-01-01,all_food_crops,All food crops,0,53176.5,337032.4,337.0324,5837242.600000001,5.77382889654098,8
Perlis,Perlis,Perlis,2021,2021-01-01,all_food_crops,All food crops,0,62766.7,267635.5,267.6355,5837242.600000001,4.584964483059176,9
Pulau Pinang,Penang,Penang,2021,2021-01-01,all_food_crops,All food crops,0,27811.0,172292.40000000002,172.29240000000001,5837242.600000001,2.9516059517553717,10
Terengganu,Terengganu,Terengganu,2021,2021-01-01,all_food_crops,All food crops,0,31087.5,158036.3,158.03629999999998,5837242.600000001,2.707379336949264,11
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2021,2021-01-01,all_food_crops,All food crops,0,10816.1,115567.6,115.5676,5837242.600000001,1.9798320528942894,12
Melaka,Melaka,Melaka,2021,2021-01-01,all_food_crops,All food crops,0,9349.800000000001,54923.5,54.9235,5837242.600000001,0.9409151505883959,13
W.P. Labuan,Labuan,Labuan,2021,2021-01-01,all_food_crops,All food crops,0,231.4,1235.2,1.2352,5837242.600000001,0.021160676104159178,14
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2021,2021-01-01,all_food_crops,All food crops,0,0.0,0.0,0.0,5837242.600000001,0.0,15
Johor,Johor,Johor,2022,2022-01-01,all_food_crops,All food crops,0,85275.3,1173189.5,1173.1895,5941631.9,19.745240360649067,1
Kedah,Kedah,Kedah,2022,2022-01-01,all_food_crops,All food crops,0,226901.5,980959.4,980.9594000000001,5941631.9,16.50993222922477,2
Pahang,Pahang,Pahang,2022,2022-01-01,all_food_crops,All food crops,0,66624.5,817389.3,817.3893,5941631.9,13.756983161477908,3
Kelantan,Kelantan,Kelantan,2022,2022-01-01,all_food_crops,All food crops,0,112416.0,627807.4,627.8074,5941631.9,10.566245276823695,4
Perak,Perak,Perak,2022,2022-01-01,all_food_crops,All food crops,0,101501.2,580355.1,580.3551,5941631.9,9.767604418577326,5
Sarawak,Sarawak,Sarawak,2022,2022-01-01,all_food_crops,All food crops,0,132815.80000000002,378752.1,378.7521,5941631.9,6.374546696506054,6
Selangor,Selangor,Selangor,2022,2022-01-01,all_food_crops,All food crops,0,49717.0,342178.5,342.1785,5941631.9,5.758998634701689,7
Sabah,Sabah,Sabah,2022,2022-01-01,all_food_crops,All food crops,0,81688.4,325386.4,325.38640000000004,5941631.9,5.476380992232118,8
Perlis,Perlis,Perlis,2022,2022-01-01,all_food_crops,All food crops,0,63879.700000000004,248694.9,248.6949,5941631.9,4.185632906676699,9
Pulau Pinang,Penang,Penang,2022,2022-01-01,all_food_crops,All food crops,0,27482.4,155253.7,155.2537,5941631.9,2.61298078731535,10
Terengganu,Terengganu,Terengganu,2022,2022-01-01,all_food_crops,All food crops,0,29909.5,124473.40000000001,124.47340000000001,5941631.9,2.094936241338007,11
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2022,2022-01-01,all_food_crops,All food crops,0,11063.5,113462.29999999999,113.46229999999998,5941631.9,1.9096151008614313,12
Melaka,Melaka,Melaka,2022,2022-01-01,all_food_crops,All food crops,0,12828.4,72532.2,72.5322,5941631.9,1.2207454319073516,13
W.P. Labuan,Labuan,Labuan,2022,2022-01-01,all_food_crops,All food crops,0,332.5,1197.7,1.1977,5941631.9,0.02015776170852994,14
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2022,2022-01-01,all_food_crops,All food crops,0,0.0,0.0,0.0,5941631.9,0.0,15
Kedah,Kedah,Kedah,2017,2017-01-01,paddy,Paddy,1,214585.0,939308.0,939.308,2570513.0,36.54165530382457,1
Kelantan,Kelantan,Kelantan,2017,2017-01-01,paddy,Paddy,1,74531.0,309582.0,309.582,2570513.0,12.043588186482621,2
Perak,Perak,Perak,2017,2017-01-01,paddy,Paddy,1,81284.0,293715.0,293.715,2570513.0,11.426318404147343,3
Sarawak,Sarawak,Sarawak,2017,2017-01-01,paddy,Paddy,1,120713.0,246305.0,246.305,2570513.0,9.581939480562829,4
Perlis,Perlis,Perlis,2017,2017-01-01,paddy,Paddy,1,51531.0,231328.0,231.328,2570513.0,8.999293137206465,5
Selangor,Selangor,Selangor,2017,2017-01-01,paddy,Paddy,1,36708.0,165571.0,165.571,2570513.0,6.441165635030828,6
Pulau Pinang,Penang,Penang,2017,2017-01-01,paddy,Paddy,1,25564.0,146660.0,146.66,2570513.0,5.705475910839588,7
Sabah,Sabah,Sabah,2017,2017-01-01,paddy,Paddy,1,42157.0,110936.0,110.936,2570513.0,4.3157144118703155,8
Terengganu,Terengganu,Terengganu,2017,2017-01-01,paddy,Paddy,1,16919.0,67715.0,67.715,2570513.0,2.634299067929242,9
Pahang,Pahang,Pahang,2017,2017-01-01,paddy,Paddy,1,13006.0,28434.0,28.434,2570513.0,1.1061605212655996,10
Melaka,Melaka,Melaka,2017,2017-01-01,paddy,Paddy,1,3510.0,12135.0,12.135,2570513.0,0.47208475506640113,11
Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,2017,2017-01-01,paddy,Paddy,1,2040.0,10261.0,10.261,2570513.0,0.3991810195085573,12
Johor,Johor,Johor,2017,2017-01-01,paddy,Paddy,1,3000.0,8563.0,8.563,2570513.0,0.3331241662656443,13
W.P. Kuala Lumpur,Kuala Lumpur,Kuala Lumpur,2017,2017-01-01,paddy,Paddy,1,0.0,0.0,0.0,2570513.0,0.0,14
