state,state_display,year,crop_type,crop_type_display,production_tonnes,production_thousand_tonnes,planted_area_hectares,production_share_percent,production_rank,average_food_inflation,average_monthly_change,months_available
Melaka,Melaka,2019,herbs,Herbs,58.7,0.06,3.4,0.65,9,1.29,0.06,12
Perlis,Perlis,2019,herbs,Herbs,18.2,0.02,2.1,0.2,10,1.58,0.09,12
Negeri Sembilan,Negeri Sembilan,2019,herbs,Herbs,8.6,0.01,4.5,0.1,11,1.5,0.08,12
Sabah,Sabah,2019,herbs,Herbs,0.9,0.0,1.2,0.01,12,0.44,0.12,12
W.P. Kuala Lumpur,Kuala Lumpur,2019,herbs,Herbs,0.0,0.0,0.0,0.0,13,3.45,0.18,12
W.P. Labuan,Labuan,2019,herbs,Herbs,0.0,0.0,0.0,0.0,13,1.18,0.06,12
Pulau Pinang,Penang,2019,herbs,Herbs,0.0,0.0,0.0,0.0,13,1.84,0.12,12
Kedah,Kedah,2019,paddy,Paddy,859018.0,859.02,214252.0,36.51,1,2.72,0.12,12
Kelantan,Kelantan,2019,paddy,Paddy,268831.0,268.83,71240.0,11.43,2,1.02,0.05,12
Perak,Perak,2019,paddy,Paddy,257605.0,257.6,81380.0,10.95,3,1.53,0.12,12
Sarawak,Sarawak,2019,paddy,Paddy,215491.0,215.49,109261.0,9.16,4,1.04,0.08,12
Perlis,Perlis,2019,paddy,Paddy,209828.0,209.83,51612.0,8.92,5,1.58,0.09,12
Selangor,Selangor,2019,paddy,Paddy,174088.0,174.09,36602.0,7.4,6,1.86,0.18,12
Pulau Pinang,Penang,2019,paddy,Paddy,128127.0,128.13,25564.0,5.45,7,1.84,0.12,12
Sabah,Sabah,2019,paddy,Paddy,112569.0,112.57,43546.0,4.78,8,0.44,0.12,12
Terengganu,Terengganu,2019,paddy,Paddy,71382.0,71.38,18341.0,3.03,9,1.16,0.11,12
Pahang,Pahang,2019,paddy,Paddy,31234.0,31.23,12435.0,1.33,10,0.95,0.04,12
Melaka,Melaka,2019,paddy,Paddy,9323.0,9.32,3360.0,0.4,11,1.29,0.06,12
Johor,Johor,2019,paddy,Paddy,7704.0,7.7,2555.0,0.33,12,1.92,0.21,12
Negeri Sembilan,Negeri Sembilan,2019,paddy,Paddy,7670.0,7.67,1936.0,0.33,13,1.5,0.08,12
W.P. Kuala Lumpur,Kuala Lumpur,2019,paddy,Paddy,0.0,0.0,0.0,0.0,14,3.45,0.18,12
W.P. Labuan,Labuan,2019,paddy,Paddy,0.0,0.0,0.0,0.0,14,1.18,0.06,12
Johor,Johor,2019,spices,Spices,13679.7,13.68,962.0,26.65,1,1.92,0.21,12
Pahang,Pahang,2019,spices,Spices,13226.8,13.23,1569.8,25.76,2,0.95,0.04,12
Selangor,Selangor,2019,spices,Spices,4712.3,4.71,401.4,9.18,3,1.86,0.18,12
Kelantan,Kelantan,2019,spices,Spices,4157.2,4.16,569.3,8.1,4,1.02,0.05,12
Perak,Perak,2019,spices,Spices,3741.3,3.74,372.9,7.29,5,1.53,0.12,12
Negeri Sembilan,Negeri Sembilan,2019,spices,Spices,3653.2,3.65,252.2,7.12,6,1.5,0.08,12
Sarawak,Sarawak,2019,spices,Spices,2700.5,2.7,465.7,5.26,7,1.04,0.08,12
Sabah,Sabah,2019,spices,Spices,2442.2,2.44,387.0,4.76,8,0.44,0.12,12
Kedah,Kedah,2019,spices,Spices,1302.6,1.3,548.2,2.54,9,2.72,0.12,12
Terengganu,Terengganu,2019,spices,Spices,864.9,0.86,129.0,1.68,10,1.16,0.11,12
Melaka,Melaka,2019,spices,Spices,659.2,0.66,122.9,1.28,11,1.29,0.06,12
Pulau Pinang,Penang,2019,spices,Spices,172.5,0.17,31.8,0.34,12,1.84,0.12,12
Perlis,Perlis,2019,spices,Spices,13.0,0.01,2.1,0.03,13,1.58,0.09,12
W.P. Labuan,Labuan,2019,spices,Spices,11.3,0.01,1.4,0.02,14,1.18,0.06,12
W.P. Kuala Lumpur,Kuala Lumpur,2019,spices,Spices,0.0,0.0,0.0,0.0,15,3.45,0.18,12
Pahang,Pahang,2019,vegetables,Vegetables,335935.0,335.94,15181.0,32.91,1,0.95,0.04,12
Johor,Johor,2019,vegetables,Vegetables,203996.5,204.0,15359.3,19.99,2,1.92,0.21,12
Kelantan,Kelantan,2019,vegetables,Vegetables,132188.2,132.19,4639.5,12.95,3,1.02,0.05,12
Perak,Perak,2019,vegetables,Vegetables,116983.6,116.98,6628.2,11.46,4,1.53,0.12,12
Sarawak,Sarawak,2019,vegetables,Vegetables,61348.8,61.35,6098.2,6.01,5,1.04,0.08,12
Sabah,Sabah,2019,vegetables,Vegetables,46227.3,46.23,4541.9,4.53,6,0.44,0.12,12
Selangor,Selangor,2019,vegetables,Vegetables,38795.7,38.8,2683.4,3.8,7,1.86,0.18,12
Negeri Sembilan,Negeri Sembilan,2019,vegetables,Vegetables,24419.1,24.42,1751.3,2.39,8,1.5,0.08,12
Kedah,Kedah,2019,vegetables,Vegetables,16823.1,16.82,1631.3,1.65,9,2.72,0.12,12
Terengganu,Terengganu,2019,vegetables,Vegetables,15264.2,15.26,1139.6,1.5,10,1.16,0.11,12
Melaka,Melaka,2019,vegetables,Vegetables,15062.4,15.06,1059.3,1.48,11,1.29,0.06,12
Pulau Pinang,Penang,2019,vegetables,Vegetables,10985.8,10.99,935.5,1.08,12,1.84,0.12,12
Perlis,Perlis,2019,vegetables,Vegetables,2350.0,2.35,320.3,0.23,13,1.58,0.09,12
W.P. Labuan,Labuan,2019,vegetables,Vegetables,334.0,0.33,57.1,0.03,14,1.18,0.06,12
W.P. Kuala Lumpur,Kuala Lumpur,2019,vegetables,Vegetables,0.0,0.0,0.0,0.0,15,3.45,0.18,12
Kedah,Kedah,2020,all_food_crops,All food crops,1000215.0,1000.22,229987.8,17.99,1,0.66,0.05,12
Johor,Johor,2020,all_food_crops,All food crops,898282.8,898.28,75447.3,16.16,2,1.52,0.08,12
Kelantan,Kelantan,2020,all_food_crops,All food crops,661122.7,661.12,110014.5,11.89,3,0.88,0.12,12
Pahang,Pahang,2020,all_food_crops,All food crops,638687.9,638.69,56921.0,11.49,4,1.34,0.18,12
Perak,Perak,2020,all_food_crops,All food crops,526920.9,526.92,102083.4,9.48,5,1.53,0.18,12
Sarawak,Sarawak,2020,all_food_crops,All food crops,461354.4,461.35,146948.1,8.3,6,0.63,0.08,12
Sabah,Sabah,2020,all_food_crops,All food crops,344443.0,344.44,81661.3,6.2,7,0.22,-0.03,12
Selangor,Selangor,2020,all_food_crops,All food crops,332850.9,332.85,51024.9,5.99,8,2.03,0.17,12
Perlis,Perlis,2020,all_food_crops,All food crops,217310.0,217.31,54224.2,3.91,9,0.54,0.07,12
Pulau Pinang,Penang,2020,all_food_crops,All food crops,156196.8,156.2,27718.0,2.81,10,1.29,0.11,12
Terengganu,Terengganu,2020,all_food_crops,All food crops,137248.5,137.25,32340.9,2.47,11,1.42,0.16,12
Negeri Sembilan,Negeri Sembilan,2020,all_food_crops,All food crops,117142.3,117.14,10893.7,2.11,12,1.22,0.13,12
Melaka,Melaka,2020,all_food_crops,All food crops,66616.3,66.62,11911.5,1.2,13,0.75,0.11,12
W.P. Labuan,Labuan,2020,all_food_crops,All food crops,1148.7,1.15,191.9,0.02,14,0.71,0.1,12
W.P. Kuala Lumpur,Kuala Lumpur,2020,all_food_crops,All food crops,0.0,0.0,0.0,0.0,15,0.77,0.07,12
Johor,Johor,2020,coconut,Coconut,106723.2,106.72,11887.0,19.02,1,1.52,0.08,12
Selangor,Selangor,2020,coconut,Coconut,105129.1,105.13,10239.1,18.74,2,2.03,0.17,12
Kelantan,Kelantan,2020,coconut,Coconut,79953.4,79.95,10398.9,14.25,3,0.88,0.12,12
Perak,Perak,2020,coconut,Coconut,71588.6,71.59,7522.8,12.76,4,1.53,0.18,12
Sabah,Sabah,2020,coconut,Coconut,57392.1,57.39,17274.7,10.23,5,0.22,-0.03,12
Sarawak,Sarawak,2020,coconut,Coconut,51490.3,51.49,12003.3,9.18,6,0.63,0.08,12
Pahang,Pahang,2020,coconut,Coconut,26915.8,26.92,3997.2,4.8,7,1.34,0.18,12
Melaka,Melaka,2020,coconut,Coconut,19376.2,19.38,2923.4,3.45,8,0.75,0.11,12
Terengganu,Terengganu,2020,coconut,Coconut,15513.6,15.51,4657.9,2.77,9,1.42,0.16,12
Negeri Sembilan,Negeri Sembilan,2020,coconut,Coconut,12841.4,12.84,1346.7,2.29,10,1.22,0.13,12
Kedah,Kedah,2020,coconut,Coconut,10046.3,10.05,2155.1,1.79,11,0.66,0.05,12
Perlis,Perlis,2020,coconut,Coconut,3360.0,3.36,400.0,0.6,12,0.54,0.07,12
W.P. Labuan,Labuan,2020,coconut,Coconut,408.9,0.41,90.9,0.07,13,0.71,0.1,12
Pulau Pinang,Penang,2020,coconut,Coconut,245.6,0.25,45.0,0.04,14,1.29,0.11,12
W.P. Kuala Lumpur,Kuala Lumpur,2020,coconut,Coconut,0.0,0.0,0.0,0.0,15,0.77,0.07,12
Johor,Johor,2020,fruits,Fruits,557842.7,557.84,44779.0,35.98,1,1.52,0.08,12
Pahang,Pahang,2020,fruits,Fruits,201494.6,201.49,24836.8,13.0,2,1.34,0.18,12
Sarawak,Sarawak,2020,fruits,Fruits,174313.9,174.31,36868.7,11.24,3,0.63,0.08,12
Kelantan,Kelantan,2020,fruits,Fruits,141461.8,141.46,20712.3,9.12,4,0.88,0.12,12
Sabah,Sabah,2020,fruits,Fruits,123396.6,123.4,19112.5,7.96,5,0.22,-0.03,12
Perak,Perak,2020,fruits,Fruits,97985.2,97.99,10310.8,6.32,6,1.53,0.18,12
Negeri Sembilan,Negeri Sembilan,2020,fruits,Fruits,66524.5,66.52,5384.8,4.29,7,1.22,0.13,12
Kedah,Kedah,2020,fruits,Fruits,61839.5,61.84,11175.4,3.99,8,0.66,0.05,12
Terengganu,Terengganu,2020,fruits,Fruits,34879.6,34.88,7399.6,2.25,9,1.42,0.16,12
Selangor,Selangor,2020,fruits,Fruits,33288.1,33.29,2096.1,2.15,10,2.03,0.17,12
Melaka,Melaka,2020,fruits,Fruits,24708.0,24.71,4539.8,1.59,11,0.75,0.11,12
Pulau Pinang,Penang,2020,fruits,Fruits,23743.2,23.74,2619.5,1.53,12,1.29,0.11,12
Perlis,Perlis,2020,fruits,Fruits,8631.3,8.63,1957.1,0.56,13,0.54,0.07,12
W.P. Labuan,Labuan,2020,fruits,Fruits,372.5,0.37,73.6,0.02,14,0.71,0.1,12
W.P. Kuala Lumpur,Kuala Lumpur,2020,fruits,Fruits,0.0,0.0,0.0,0.0,15,0.77,0.07,12
Sarawak,Sarawak,2020,herbs,Herbs,2809.4,2.81,654.4,30.95,1,0.63,0.08,12
Johor,Johor,2020,herbs,Herbs,2586.1,2.59,179.0,28.49,2,1.52,0.08,12
Perak,Perak,2020,herbs,Herbs,1016.4,1.02,498.4,11.2,3,1.53,0.18,12
Kelantan,Kelantan,2020,herbs,Herbs,802.0,0.8,160.3,8.84,4,0.88,0.12,12
Pahang,Pahang,2020,herbs,Herbs,634.9,0.63,162.4,6.99,5,1.34,0.18,12
Selangor,Selangor,2020,herbs,Herbs,496.7,0.5,88.3,5.47,6,2.03,0.17,12
Kedah,Kedah,2020,herbs,Herbs,367.2,0.37,196.4,4.05,7,0.66,0.05,12
Terengganu,Terengganu,2020,herbs,Herbs,267.9,0.27,120.1,2.95,8,1.42,0.16,12
Melaka,Melaka,2020,herbs,Herbs,53.8,0.05,12.4,0.59,9,0.75,0.11,12
Negeri Sembilan,Negeri Sembilan,2020,herbs,Herbs,21.2,0.02,3.0,0.23,10,1.22,0.13,12
Perlis,Perlis,2020,herbs,Herbs,20.3,0.02,3.5,0.22,11,0.54,0.07,12
Pulau Pinang,Penang,2020,herbs,Herbs,0.8,0.0,0.1,0.01,12,1.29,0.11,12
Sabah,Sabah,2020,herbs,Herbs,0.4,0.0,1.2,0.0,13,0.22,-0.03,12
W.P. Kuala Lumpur,Kuala Lumpur,2020,herbs,Herbs,0.0,0.0,0.0,0.0,14,0.77,0.07,12
W.P. Labuan,Labuan,2020,herbs,Herbs,0.0,0.0,0.0,0.0,14,0.71,0.1,12
Kedah,Kedah,2020,paddy,Paddy,914200.0,914.2,214328.0,38.8,1,0.66,0.05,12
Kelantan,Kelantan,2020,paddy,Paddy,305675.0,305.68,73717.0,12.97,2,0.88,0.12,12
Perak,Perak,2020,paddy,Paddy,232437.0,232.44,76201.0,9.86,3,1.53,0.18,12
Perlis,Perlis,2020,paddy,Paddy,203275.0,203.28,51598.0,8.63,4,0.54,0.07,12
Sarawak,Sarawak,2020,paddy,Paddy,167588.9,167.59,90865.2,7.11,5,0.63,0.08,12
Selangor,Selangor,2020,paddy,Paddy,159535.0,159.54,36004.0,6.77,6,2.03,0.17,12
Pulau Pinang,Penang,2020,paddy,Paddy,121594.0,121.59,24210.0,5.16,7,1.29,0.11,12
Sabah,Sabah,2020,paddy,Paddy,117846.0,117.85,40446.0,5.0,8,0.22,-0.03,12
Terengganu,Terengganu,2020,paddy,Paddy,73723.0,73.72,19071.0,3.13,9,1.42,0.16,12
Pahang,Pahang,2020,paddy,Paddy,35524.0,35.52,10572.0,1.51,10,1.34,0.18,12
Negeri Sembilan,Negeri Sembilan,2020,paddy,Paddy,8942.0,8.94,1989.0,0.38,11,1.22,0.13,12
Melaka,Melaka,2020,paddy,Paddy,8550.0,8.55,3360.0,0.36,12,0.75,0.11,12
Johor,Johor,2020,paddy,Paddy,7502.0,7.5,2547.0,0.32,13,1.52,0.08,12
W.P. Kuala Lumpur,Kuala Lumpur,2020,paddy,Paddy,0.0,0.0,0.0,0.0,14,0.77,0.07,12
W.P. Labuan,Labuan,2020,paddy,Paddy,0.0,0.0,0.0,0.0,14,0.71,0.1,12
Johor,Johor,2020,spices,Spices,15368.5,15.37,1211.6,29.25,1,1.52,0.08,12
Pahang,Pahang,2020,spices,Spices,12147.3,12.15,1385.3,23.12,2,1.34,0.18,12
Negeri Sembilan,Negeri Sembilan,2020,spices,Spices,5420.0,5.42,412.7,10.32,3,1.22,0.13,12
Kelantan,Kelantan,2020,spices,Spices,4903.1,4.9,514.4,9.33,4,0.88,0.12,12
Perak,Perak,2020,spices,Spices,3469.9,3.47,358.5,6.6,5,1.53,0.18,12
Sarawak,Sarawak,2020,spices,Spices,2988.4,2.99,498.9,5.69,6,0.63,0.08,12
Selangor,Selangor,2020,spices,Spices,2742.3,2.74,259.7,5.22,7,2.03,0.17,12
Sabah,Sabah,2020,spices,Spices,2536.2,2.54,463.1,4.83,8,0.22,-0.03,12
Terengganu,Terengganu,2020,spices,Spices,990.2,0.99,110.9,1.88,9,1.42,0.16,12
Kedah,Kedah,2020,spices,Spices,971.5,0.97,577.9,1.85,10,0.66,0.05,12
Melaka,Melaka,2020,spices,Spices,705.9,0.71,135.3,1.34,11,0.75,0.11,12
Pulau Pinang,Penang,2020,spices,Spices,289.6,0.29,30.1,0.55,12,1.29,0.11,12
W.P. Labuan,Labuan,2020,spices,Spices,8.4,0.01,0.5,0.02,13,0.71,0.1,12
W.P. Kuala Lumpur,Kuala Lumpur,2020,spices,Spices,0.0,0.0,0.0,0.0,14,0.77,0.07,12
Perlis,Perlis,2020,spices,Spices,0.0,0.0,0.0,0.0,14,0.54,0.07,12
Pahang,Pahang,2020,vegetables,Vegetables,361971.3,361.97,15967.3,35.14,1,1.34,0.18,12
Johor,Johor,2020,vegetables,Vegetables,208260.3,208.26,14843.7,20.22,2,1.52,0.08,12
Kelantan,Kelantan,2020,vegetables,Vegetables,128327.4,128.33,4511.6,12.46,3,0.88,0.12,12
Perak,Perak,2020,vegetables,Vegetables,120423.8,120.42,7191.9,11.69,4,1.53,0.18,12
Sarawak,Sarawak,2020,vegetables,Vegetables,62163.5,62.16,6057.6,6.03,5,0.63,0.08,12
Sabah,Sabah,2020,vegetables,Vegetables,43271.7,43.27,4363.8,4.2,6,0.22,-0.03,12
Selangor,Selangor,2020,vegetables,Vegetables,31659.7,31.66,2337.7,3.07,7,2.03,0.17,12
Negeri Sembilan,Negeri Sembilan,2020,vegetables,Vegetables,23393.2,23.39,1757.5,2.27,8,1.22,0.13,12
Melaka,Melaka,2020,vegetables,Vegetables,13222.4,13.22,940.6,1.28,9,0.75,0.11,12
Kedah,Kedah,2020,vegetables,Vegetables,12790.5,12.79,1555.0,1.24,10,0.66,0.05,12
Terengganu,Terengganu,2020,vegetables,Vegetables,11874.2,11.87,981.4,1.15,11,1.42,0.16,12
Pulau Pinang,Penang,2020,vegetables,Vegetables,10323.6,10.32,813.3,1.0,12,1.29,0.11,12
Perlis,Perlis,2020,vegetables,Vegetables,2023.4,2.02,265.6,0.2,13,0.54,0.07,12
W.P. Labuan,Labuan,2020,vegetables,Vegetables,358.9,0.36,26.9,0.03,14,0.71,0.1,12
W.P. Kuala Lumpur,Kuala Lumpur,2020,vegetables,Vegetables,0.0,0.0,0.0,0.0,15,0.77,0.07,12
Johor,Johor,2021,all_food_crops,All food crops,1022278.3,1022.28,84216.3,17.51,1,1.8,0.31,12
Kedah,Kedah,2021,all_food_crops,All food crops,1004164.8,1004.16,228241.1,17.2,2,1.25,0.26,12
Pahang,Pahang,2021,all_food_crops,All food crops,713801.8,713.8,62175.5,12.23,3,2.22,0.27,12
Kelantan,Kelantan,2021,all_food_crops,All food crops,692893.8,692.89,110378.9,11.87,4,2.12,0.25,12
Perak,Perak,2021,all_food_crops,All food crops,577425.9,577.43,101957.0,9.89,5,1.82,0.27,12
Sarawak,Sarawak,2021,all_food_crops,All food crops,381130.1,381.13,138640.5,6.53,6,1.08,0.15,12
Sabah,Sabah,2021,all_food_crops,All food crops,338825.0,338.82,81883.6,5.8,7,0.62,0.14,12
Selangor,Selangor,2021,all_food_crops,All food crops,337032.4,337.03,53176.5,5.77,8,2.43,0.35,12
Perlis,Perlis,2021,all_food_crops,All food crops,267635.5,267.64,62766.7,4.58,9,1.41,0.28,12
Pulau Pinang,Penang,2021,all_food_crops,All food crops,172292.4,172.29,27811.0,2.95,10,1.14,0.24,12
Terengganu,Terengganu,2021,all_food_crops,All food crops,158036.3,158.04,31087.5,2.71,11,2.24,0.24,12
Negeri Sembilan,Negeri Sembilan,2021,all_food_crops,All food crops,115567.6,115.57,10816.1,1.98,12,1.58,0.24,12
Melaka,Melaka,2021,all_food_crops,All food crops,54923.5,54.92,9349.8,0.94,13,1.41,0.21,12
W.P. Labuan,Labuan,2021,all_food_crops,All food crops,1235.2,1.24,231.4,0.02,14,1.37,0.18,12
W.P. Kuala Lumpur,Kuala Lumpur,2021,all_food_crops,All food crops,0.0,0.0,0.0,0.0,15,1.29,0.22,12
Johor,Johor,2021,coconut,Coconut,118278.2,118.28,12380.5,21.22,1,1.8,0.31,12
Selangor,Selangor,2021,coconut,Coconut,107558.9,107.56,9119.7,19.3,2,2.43,0.35,12
Perak,Perak,2021,coconut,Coconut,81288.4,81.29,7568.2,14.58,3,1.82,0.27,12
Kelantan,Kelantan,2021,coconut,Coconut,76673.8,76.67,10340.3,13.76,4,2.12,0.25,12
Sabah,Sabah,2021,coconut,Coconut,59214.8,59.21,18257.7,10.62,5,0.62,0.14,12
Pahang,Pahang,2021,coconut,Coconut,28180.5,28.18,3433.0,5.06,6,2.22,0.27,12
Sarawak,Sarawak,2021,coconut,Coconut,24139.1,24.14,11947.8,4.33,7,1.08,0.15,12
Terengganu,Terengganu,2021,coconut,Coconut,20120.7,20.12,2359.8,3.61,8,2.24,0.24,12
Melaka,Melaka,2021,coconut,Coconut,14040.2,14.04,2189.3,2.52,9,1.41,0.21,12
Negeri Sembilan,Negeri Sembilan,2021,coconut,Coconut,13856.9,13.86,1500.5,2.49,10,1.58,0.24,12
Kedah,Kedah,2021,coconut,Coconut,10185.3,10.19,1854.4,1.83,11,1.25,0.26,12
Perlis,Perlis,2021,coconut,Coconut,3133.8,3.13,391.1,0.56,12,1.41,0.28,12
W.P. Labuan,Labuan,2021,coconut,Coconut,436.5,0.44,91.4,0.08,13,1.37,0.18,12
Pulau Pinang,Penang,2021,coconut,Coconut,246.5,0.25,35.7,0.04,14,1.14,0.24,12
W.P. Kuala Lumpur,Kuala Lumpur,2021,coconut,Coconut,0.0,0.0,0.0,0.0,15,1.29,0.22,12
Johor,Johor,2021,fruits,Fruits,631711.1,631.71,50231.6,37.45,1,1.8,0.31,12
Pahang,Pahang,2021,fruits,Fruits,244209.0,244.21,25679.1,14.48,2,2.22,0.27,12
Sarawak,Sarawak,2021,fruits,Fruits,145573.0,145.57,36814.1,8.63,3,1.08,0.15,12
Kelantan,Kelantan,2021,fruits,Fruits,145161.2,145.16,19759.7,8.61,4,2.12,0.25,12
Sabah,Sabah,2021,fruits,Fruits,123132.2,123.13,20301.3,7.3,5,0.62,0.14,12
Perak,Perak,2021,fruits,Fruits,121457.8,121.46,11439.3,7.2,6,1.82,0.27,12
Kedah,Kedah,2021,fruits,Fruits,73092.9,73.09,9733.8,4.33,7,1.25,0.26,12
Negeri Sembilan,Negeri Sembilan,2021,fruits,Fruits,68549.3,68.55,5572.0,4.06,8,1.58,0.24,12
Terengganu,Terengganu,2021,fruits,Fruits,49649.6,49.65,7652.9,2.94,9,2.24,0.24,12
Selangor,Selangor,2021,fruits,Fruits,35605.4,35.61,5288.1,2.11,10,2.43,0.35,12
Pulau Pinang,Penang,2021,fruits,Fruits,22688.1,22.69,2525.4,1.34,11,1.14,0.24,12
Melaka,Melaka,2021,fruits,Fruits,19133.9,19.13,2861.9,1.13,12,1.41,0.21,12
Perlis,Perlis,2021,fruits,Fruits,6575.4,6.58,1485.6,0.39,13,1.41,0.28,12
W.P. Labuan,Labuan,2021,fruits,Fruits,336.5,0.34,74.9,0.02,14,1.37,0.18,12
W.P. Kuala Lumpur,Kuala Lumpur,2021,fruits,Fruits,0.0,0.0,0.0,0.0,15,1.29,0.22,12
Sarawak,Sarawak,2021,herbs,Herbs,2947.6,2.95,643.6,31.56,1,1.08,0.15,12
Johor,Johor,2021,herbs,Herbs,2642.8,2.64,266.8,28.3,2,1.8,0.31,12
Perak,Perak,2021,herbs,Herbs,1305.6,1.31,422.8,13.98,3,1.82,0.27,12
Kelantan,Kelantan,2021,herbs,Herbs,709.7,0.71,133.5,7.6,4,2.12,0.25,12
Selangor,Selangor,2021,herbs,Herbs,513.2,0.51,82.7,5.49,5,2.43,0.35,12
Pahang,Pahang,2021,herbs,Herbs,396.8,0.4,220.5,4.25,6,2.22,0.27,12
Terengganu,Terengganu,2021,herbs,Herbs,333.9,0.33,113.4,3.57,7,2.24,0.24,12
Kedah,Kedah,2021,herbs,Herbs,319.7,0.32,103.5,3.42,8,1.25,0.26,12
Melaka,Melaka,2021,herbs,Herbs,61.7,0.06,5.3,0.66,9,1.41,0.21,12
Negeri Sembilan,Negeri Sembilan,2021,herbs,Herbs,53.7,0.05,15.6,0.57,10,1.58,0.24,12
Perlis,Perlis,2021,herbs,Herbs,52.8,0.05,8.4,0.57,11,1.41,0.28,12
Pulau Pinang,Penang,2021,herbs,Herbs,2.1,0.0,0.5,0.02,12,1.14,0.24,12
Sabah,Sabah,2021,herbs,Herbs,0.4,0.0,1.2,0.0,13,0.62,0.14,12
W.P. Kuala Lumpur,Kuala Lumpur,2021,herbs,Herbs,0.0,0.0,0.0,0.0,14,1.29,0.22,12
W.P. Labuan,Labuan,2021,herbs,Herbs,0.0,0.0,0.0,0.0,14,1.37,0.18,12
Kedah,Kedah,2021,paddy,Paddy,906692.0,906.69,214880.0,37.14,1,1.25,0.26,12
Kelantan,Kelantan,2021,paddy,Paddy,333868.0,333.87,74972.0,13.67,2,2.12,0.25,12
Perlis,Perlis,2021,paddy,Paddy,256034.0,256.03,60478.0,10.49,3,1.41,0.28,12
Perak,Perak,2021,paddy,Paddy,244397.0,244.4,74949.0,10.01,4,1.82,0.27,12
Selangor,Selangor,2021,paddy,Paddy,155631.0,155.63,35885.0,6.37,5,2.43,0.35,12
Sarawak,Sarawak,2021,paddy,Paddy,148903.0,148.9,83143.0,6.1,6,1.08,0.15,12
Pulau Pinang,Penang,2021,paddy,Paddy,136919.0,136.92,24210.0,5.61,7,1.14,0.24,12
Sabah,Sabah,2021,paddy,Paddy,112284.0,112.28,38732.0,4.6,8,0.62,0.14,12
Terengganu,Terengganu,2021,paddy,Paddy,72023.0,72.02,19601.0,2.95,9,2.24,0.24,12
Pahang,Pahang,2021,paddy,Paddy,50866.0,50.87,13639.0,2.08,10,2.22,0.27,12
Melaka,Melaka,2021,paddy,Paddy,10287.0,10.29,3462.0,0.42,11,1.41,0.21,12
Johor,Johor,2021,paddy,Paddy,9031.0,9.03,2505.0,0.37,12,1.8,0.31,12
Negeri Sembilan,Negeri Sembilan,2021,paddy,Paddy,4662.0,4.66,1480.0,0.19,13,1.58,0.24,12
W.P. Kuala Lumpur,Kuala Lumpur,2021,paddy,Paddy,0.0,0.0,0.0,0.0,14,1.29,0.22,12
W.P. Labuan,Labuan,2021,paddy,Paddy,0.0,0.0,0.0,0.0,14,1.37,0.18,12
Johor,Johor,2021,spices,Spices,18401.5,18.4,1645.5,34.05,1,1.8,0.31,12
Pahang,Pahang,2021,spices,Spices,8619.4,8.62,1044.8,15.95,2,2.22,0.27,12
Negeri Sembilan,Negeri Sembilan,2021,spices,Spices,7078.2,7.08,528.3,13.1,3,1.58,0.24,12
Kelantan,Kelantan,2021,spices,Spices,4428.4,4.43,532.7,8.19,4,2.12,0.25,12
Selangor,Selangor,2021,spices,Spices,3672.6,3.67,280.4,6.8,5,2.43,0.35,12
Perak,Perak,2021,spices,Spices,3668.7,3.67,387.7,6.79,6,1.82,0.27,12
Sarawak,Sarawak,2021,spices,Spices,2919.6,2.92,496.7,5.4,7,1.08,0.15,12
Sabah,Sabah,2021,spices,Spices,2744.8,2.74,430.5,5.08,8,0.62,0.14,12
Kedah,Kedah,2021,spices,Spices,965.3,0.97,351.6,1.79,9,1.25,0.26,12
Terengganu,Terengganu,2021,spices,Spices,797.0,0.8,175.1,1.47,10,2.24,0.24,12
Melaka,Melaka,2021,spices,Spices,460.2,0.46,62.1,0.85,11,1.41,0.21,12
Pulau Pinang,Penang,2021,spices,Spices,282.2,0.28,42.8,0.52,12,1.14,0.24,12
W.P. Kuala Lumpur,Kuala Lumpur,2021,spices,Spices,0.0,0.0,0.0,0.0,13,1.29,0.22,12
W.P. Labuan,Labuan,2021,spices,Spices,0.0,0.0,0.0,0.0,13,1.37,0.18,12
Perlis,Perlis,2021,spices,Spices,0.0,0.0,0.0,0.0,13,1.41,0.28,12
Pahang,Pahang,2021,vegetables,Vegetables,381530.1,381.53,18159.1,35.07,1,2.22,0.27,12
Johor,Johor,2021,vegetables,Vegetables,242213.7,242.21,17186.9,22.26,2,1.8,0.31,12
Kelantan,Kelantan,2021,vegetables,Vegetables,132052.7,132.05,4640.7,12.14,3,2.12,0.25,12
Perak,Perak,2021,vegetables,Vegetables,125308.4,125.31,7190.0,11.52,4,1.82,0.27,12
Sarawak,Sarawak,2021,vegetables,Vegetables,56647.8,56.65,5595.3,5.21,5,1.08,0.15,12
Sabah,Sabah,2021,vegetables,Vegetables,41448.8,41.45,4160.9,3.81,6,0.62,0.14,12
Selangor,Selangor,2021,vegetables,Vegetables,34051.3,34.05,2520.6,3.13,7,2.43,0.35,12
Negeri Sembilan,Negeri Sembilan,2021,vegetables,Vegetables,21367.5,21.37,1719.7,1.96,8,1.58,0.24,12
Terengganu,Terengganu,2021,vegetables,Vegetables,15112.1,15.11,1185.3,1.39,9,2.24,0.24,12
Kedah,Kedah,2021,vegetables,Vegetables,12909.6,12.91,1317.8,1.19,10,1.25,0.26,12
Pulau Pinang,Penang,2021,vegetables,Vegetables,12154.5,12.15,996.6,1.12,11,1.14,0.24,12
