state,state_display,date,year,month_number,month,period_id,period_label,date_number,division,division_name,inflation_yoy,inflation_mom
Pahang,Pahang,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,4.8,0.1
Pulau Pinang,Penang,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,4.5,0.3
Perak,Perak,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,2.5,-0.4
Perlis,Perlis,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,2.5,-0.6
W.P. Putrajaya,Putrajaya,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,4.6,0.6
Sabah,Sabah,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,1.5,-0.5
Sarawak,Sarawak,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,4.4,0.1
Selangor,Selangor,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,3.9,0.0
Terengganu,Terengganu,2014-04-01,2014,4,April,2014-04,April 2014,201404,01,Food and non-alcoholic beverages,2.8,-0.2
Johor,Johor,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,3.4,-0.3
Kedah,Kedah,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,3.1,-0.4
Kelantan,Kelantan,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,3.8,0.3
W.P. Kuala Lumpur,Kuala Lumpur,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,2.6,0.2
W.P. Labuan,Labuan,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,1.2,-0.4
Melaka,Melaka,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,3.0,-0.3
Negeri Sembilan,Negeri Sembilan,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,2.2,0.1
Pahang,Pahang,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,3.7,0.1
Pulau Pinang,Penang,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,3.8,-0.2
Perak,Perak,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,2.2,0.1
Perlis,Perlis,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,1.8,-0.6
W.P. Putrajaya,Putrajaya,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,4.8,0.2
Sabah,Sabah,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,1.7,-0.2
Sarawak,Sarawak,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,3.7,-0.6
Selangor,Selangor,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,4.0,0.5
Terengganu,Terengganu,2014-05-01,2014,5,May,2014-05,May 2014,201405,01,Food and non-alcoholic beverages,2.2,0.3
Johor,Johor,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,3.7,0.7
Kedah,Kedah,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,3.6,0.6
Kelantan,Kelantan,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,3.1,0.6
W.P. Kuala Lumpur,Kuala Lumpur,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,3.0,1.0
W.P. Labuan,Labuan,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,0.9,0.2
Melaka,Melaka,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,3.6,0.9
Negeri Sembilan,Negeri Sembilan,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,2.5,0.4
Pahang,Pahang,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,4.4,0.4
Pulau Pinang,Penang,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,3.8,0.3
Perak,Perak,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,2.5,0.6
Perlis,Perlis,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,2.6,0.7
W.P. Putrajaya,Putrajaya,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,5.1,0.9
Sabah,Sabah,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,1.9,0.4
Sarawak,Sarawak,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,3.8,0.3
Selangor,Selangor,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,4.4,0.6
Terengganu,Terengganu,2014-06-01,2014,6,June,2014-06,June 2014,201406,01,Food and non-alcoholic beverages,2.3,0.8
Johor,Johor,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,3.6,0.5
Kedah,Kedah,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,3.2,0.4
Kelantan,Kelantan,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,3.4,1.3
W.P. Kuala Lumpur,Kuala Lumpur,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,3.1,0.7
W.P. Labuan,Labuan,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,-0.4,0.0
Melaka,Melaka,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,2.8,0.3
Negeri Sembilan,Negeri Sembilan,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,2.1,0.2
Pahang,Pahang,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,3.4,-0.3
Pulau Pinang,Penang,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,3.9,0.4
Perak,Perak,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,2.1,0.4
Perlis,Perlis,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,2.1,0.2
W.P. Putrajaya,Putrajaya,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,4.7,-0.1
Sabah,Sabah,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,1.4,0.0
Sarawak,Sarawak,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,3.2,0.0
Selangor,Selangor,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,3.7,0.2
Terengganu,Terengganu,2014-07-01,2014,7,July,2014-07,July 2014,201407,01,Food and non-alcoholic beverages,2.8,0.7
Johor,Johor,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,3.5,0.2
Kedah,Kedah,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,3.2,-0.2
Kelantan,Kelantan,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,3.5,-0.2
W.P. Kuala Lumpur,Kuala Lumpur,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,3.5,0.0
W.P. Labuan,Labuan,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,0.1,0.1
Melaka,Melaka,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,3.3,0.2
Negeri Sembilan,Negeri Sembilan,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,2.7,0.4
Pahang,Pahang,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,4.1,0.3
Pulau Pinang,Penang,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,4.4,0.2
Perak,Perak,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,2.2,-0.3
Perlis,Perlis,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,1.9,0.0
W.P. Putrajaya,Putrajaya,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,4.5,-0.1
Sabah,Sabah,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,1.5,0.1
Sarawak,Sarawak,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,3.1,0.4
Selangor,Selangor,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,3.8,0.0
Terengganu,Terengganu,2014-08-01,2014,8,August,2014-08,August 2014,201408,01,Food and non-alcoholic beverages,3.1,-0.2
Johor,Johor,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.5,0.2
Kedah,Kedah,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.3,0.4
Kelantan,Kelantan,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.7,-0.2
W.P. Kuala Lumpur,Kuala Lumpur,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.0,0.0
W.P. Labuan,Labuan,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,-0.6,0.3
Melaka,Melaka,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.3,0.4
Negeri Sembilan,Negeri Sembilan,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,2.7,0.3
Pahang,Pahang,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.5,0.2
Pulau Pinang,Penang,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,4.1,0.3
Perak,Perak,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,2.2,0.4
Perlis,Perlis,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,2.5,0.1
W.P. Putrajaya,Putrajaya,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,4.3,0.3
Sabah,Sabah,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,1.1,0.2
Sarawak,Sarawak,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.1,0.4
Selangor,Selangor,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.8,0.3
Terengganu,Terengganu,2014-09-01,2014,9,September,2014-09,September 2014,201409,01,Food and non-alcoholic beverages,3.0,-0.4
Johor,Johor,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,3.0,-0.4
Kedah,Kedah,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,2.7,-0.3
Kelantan,Kelantan,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,3.5,-0.2
W.P. Kuala Lumpur,Kuala Lumpur,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,2.9,-0.1
W.P. Labuan,Labuan,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,-0.3,0.5
Melaka,Melaka,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,2.9,-0.7
Negeri Sembilan,Negeri Sembilan,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,2.9,0.0
Pahang,Pahang,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,3.1,-0.2
Pulau Pinang,Penang,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,3.5,-0.2
Perak,Perak,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,1.9,-0.2
Perlis,Perlis,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,-0.2,-0.5
W.P. Putrajaya,Putrajaya,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,3.8,-0.4
Sabah,Sabah,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,1.1,0.2
Sarawak,Sarawak,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,2.5,-0.4
Selangor,Selangor,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,3.6,-0.1
Terengganu,Terengganu,2014-10-01,2014,10,October,2014-10,October 2014,201410,01,Food and non-alcoholic beverages,2.7,-0.2
Johor,Johor,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,3.2,0.4
Kedah,Kedah,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,2.8,0.1
Kelantan,Kelantan,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,3.0,-0.2
W.P. Kuala Lumpur,Kuala Lumpur,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,3.5,0.3
W.P. Labuan,Labuan,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,0.6,0.4
Melaka,Melaka,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,2.6,0.2
Negeri Sembilan,Negeri Sembilan,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,3.0,0.2
Pahang,Pahang,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,2.8,0.0
Pulau Pinang,Penang,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,3.9,0.5
Perak,Perak,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,1.9,0.2
Perlis,Perlis,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,1.0,0.6
W.P. Putrajaya,Putrajaya,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,4.0,0.1
Sabah,Sabah,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,0.7,0.2
Sarawak,Sarawak,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,2.0,0.3
Selangor,Selangor,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,3.7,0.2
Terengganu,Terengganu,2014-11-01,2014,11,November,2014-11,November 2014,201411,01,Food and non-alcoholic beverages,2.2,0.0
Johor,Johor,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,2.2,0.4
Kedah,Kedah,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,2.2,0.5
Kelantan,Kelantan,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,2.9,1.1
W.P. Kuala Lumpur,Kuala Lumpur,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,3.0,0.2
W.P. Labuan,Labuan,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,1.1,0.2
Melaka,Melaka,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,2.0,0.6
Negeri Sembilan,Negeri Sembilan,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,2.7,0.7
Pahang,Pahang,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,1.5,0.6
Pulau Pinang,Penang,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,3.1,0.2
Perak,Perak,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,1.3,0.3
Perlis,Perlis,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,0.6,0.6
W.P. Putrajaya,Putrajaya,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,3.0,0.2
Sabah,Sabah,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,1.1,0.4
Sarawak,Sarawak,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,2.1,0.3
Selangor,Selangor,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,3.1,0.2
Terengganu,Terengganu,2014-12-01,2014,12,December,2014-12,December 2014,201412,01,Food and non-alcoholic beverages,1.5,0.6
Johor,Johor,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,3.6,1.8
Kedah,Kedah,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,2.3,0.9
Kelantan,Kelantan,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,3.0,0.8
W.P. Kuala Lumpur,Kuala Lumpur,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,3.7,1.3
W.P. Labuan,Labuan,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,1.2,0.1
Melaka,Melaka,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,3.4,1.6
Negeri Sembilan,Negeri Sembilan,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,3.9,1.3
Pahang,Pahang,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,2.9,1.8
Pulau Pinang,Penang,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,3.4,1.2
Perak,Perak,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,2.4,1.3
Perlis,Perlis,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,0.4,0.1
W.P. Putrajaya,Putrajaya,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,3.4,0.9
Sabah,Sabah,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,0.5,0.1
Sarawak,Sarawak,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,1.1,0.9
Selangor,Selangor,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,3.5,1.5
Terengganu,Terengganu,2015-01-01,2015,1,January,2015-01,January 2015,201501,01,Food and non-alcoholic beverages,2.2,1.1
Johor,Johor,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,3.2,-0.5
Kedah,Kedah,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,1.7,-0.4
Kelantan,Kelantan,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,3.1,-0.3
W.P. Kuala Lumpur,Kuala Lumpur,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,3.8,-0.3
W.P. Labuan,Labuan,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,1.5,0.6
Melaka,Melaka,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,3.0,-0.3
Negeri Sembilan,Negeri Sembilan,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,3.5,-0.6
Pahang,Pahang,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,2.1,-0.9
Pulau Pinang,Penang,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,2.8,-0.4
Perak,Perak,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,2.2,-0.4
Perlis,Perlis,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,1.2,0.2
W.P. Putrajaya,Putrajaya,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,3.3,0.1
Sabah,Sabah,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,0.9,0.5
Sarawak,Sarawak,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,2.4,1.0
Selangor,Selangor,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,3.2,-0.3
Terengganu,Terengganu,2015-02-01,2015,2,February,2015-02,February 2015,201502,01,Food and non-alcoholic beverages,2.2,-0.3
Johor,Johor,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,2.8,-0.3
Kedah,Kedah,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,1.4,-0.1
Kelantan,Kelantan,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,2.2,-0.8
W.P. Kuala Lumpur,Kuala Lumpur,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,3.1,-0.3
W.P. Labuan,Labuan,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,1.7,0.1
Melaka,Melaka,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,2.1,-0.6
Negeri Sembilan,Negeri Sembilan,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,3.4,0.0
Pahang,Pahang,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,1.9,-0.2
Pulau Pinang,Penang,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,2.3,-0.3
Perak,Perak,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,2.0,-0.1
Perlis,Perlis,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,0.6,-0.2
W.P. Putrajaya,Putrajaya,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,2.8,0.0
Sabah,Sabah,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,1.1,-0.2
Sarawak,Sarawak,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,2.0,-0.5
Selangor,Selangor,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,2.8,-0.3
Terengganu,Terengganu,2015-03-01,2015,3,March,2015-03,March 2015,201503,01,Food and non-alcoholic beverages,1.5,-0.8
Johor,Johor,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,3.8,1.0
Kedah,Kedah,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,1.6,0.0
Kelantan,Kelantan,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,3.0,0.7
W.P. Kuala Lumpur,Kuala Lumpur,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,4.2,1.1
W.P. Labuan,Labuan,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,2.0,-0.1
Melaka,Melaka,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,2.7,0.3
Negeri Sembilan,Negeri Sembilan,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,3.6,0.5
Pahang,Pahang,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,2.5,0.7
Pulau Pinang,Penang,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,3.4,1.3
Perak,Perak,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,3.0,0.6
Perlis,Perlis,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,2.1,1.0
W.P. Putrajaya,Putrajaya,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,2.6,0.4
Sabah,Sabah,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,2.4,0.8
Sarawak,Sarawak,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,2.7,0.8
Selangor,Selangor,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,4.1,1.3
Terengganu,Terengganu,2015-04-01,2015,4,April,2015-04,April 2015,201504,01,Food and non-alcoholic beverages,2.3,0.6
Johor,Johor,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,4.7,0.7
Kedah,Kedah,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,2.6,0.6
Kelantan,Kelantan,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,3.5,0.8
W.P. Kuala Lumpur,Kuala Lumpur,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,4.4,0.3
W.P. Labuan,Labuan,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,1.8,-0.6
Melaka,Melaka,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,3.6,0.6
Negeri Sembilan,Negeri Sembilan,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,4.2,0.7
Pahang,Pahang,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,3.0,0.6
Pulau Pinang,Penang,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,3.6,0.1
Perak,Perak,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,3.4,0.5
Perlis,Perlis,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,2.6,-0.2
W.P. Putrajaya,Putrajaya,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,3.3,0.8
Sabah,Sabah,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,2.5,-0.1
Sarawak,Sarawak,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,3.4,0.1
Selangor,Selangor,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,3.5,-0.1
Terengganu,Terengganu,2015-05-01,2015,5,May,2015-05,May 2015,201505,01,Food and non-alcoholic beverages,2.6,0.5
Johor,Johor,2015-06-01,2015,6,June,2015-06,June 2015,201506,01,Food and non-alcoholic beverages,4.8,0.7
