state,state_display,date,year,month_number,month,period_id,period_label,date_number,division,division_name,inflation_yoy,inflation_mom
Negeri Sembilan,Negeri Sembilan,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,5.8,1.1
Pahang,Pahang,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,4.4,0.8
Pulau Pinang,Penang,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,5.1,0.7
Perak,Perak,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,4.5,0.9
Perlis,Perlis,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,3.5,-0.4
W.P. Putrajaya,Putrajaya,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,3.0,0.2
Sabah,Sabah,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,4.3,0.5
Sarawak,Sarawak,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,3.4,0.9
Selangor,Selangor,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,5.3,1.8
Terengganu,Terengganu,2011-02-01,2011,2,February,2011-02,February 2011,201102,01,Food and non-alcoholic beverages,5.9,0.5
Johor,Johor,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,4.7,-0.4
Kedah,Kedah,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,4.1,0.1
Kelantan,Kelantan,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,5.8,0.4
W.P. Kuala Lumpur,Kuala Lumpur,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,3.9,0.0
W.P. Labuan,Labuan,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,2.4,0.3
Melaka,Melaka,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,5.0,-0.6
Negeri Sembilan,Negeri Sembilan,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,6.2,0.4
Pahang,Pahang,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,4.4,0.0
Pulau Pinang,Penang,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,5.5,0.1
Perak,Perak,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,4.4,-0.2
Perlis,Perlis,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,4.4,0.9
W.P. Putrajaya,Putrajaya,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,3.0,0.0
Sabah,Sabah,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,4.5,0.2
Sarawak,Sarawak,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,3.3,-0.1
Selangor,Selangor,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,5.3,0.1
Terengganu,Terengganu,2011-03-01,2011,3,March,2011-03,March 2011,201103,01,Food and non-alcoholic beverages,5.7,-0.1
Johor,Johor,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,4.7,0.1
Kedah,Kedah,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,4.1,0.0
Kelantan,Kelantan,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,6.4,0.8
W.P. Kuala Lumpur,Kuala Lumpur,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,3.9,0.0
W.P. Labuan,Labuan,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,1.8,-0.1
Melaka,Melaka,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,5.1,0.1
Negeri Sembilan,Negeri Sembilan,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,6.4,0.4
Pahang,Pahang,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,4.9,0.8
Pulau Pinang,Penang,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,5.7,0.2
Perak,Perak,2011-04-01,2011,4,April,2011-04,April 2011,201104,01,Food and non-alcoholic beverages,4.6,0.3
