state,state_display,date,year,month_number,month,division,division_order,division_name,division_label,division_scope,inflation_yoy,inflation_mom,pressure_group
Kelantan,Kelantan,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,3.3,0.4,Moderate pressure
Kelantan,Kelantan,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,3.3,1.4,Moderate pressure
Kelantan,Kelantan,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,-0.2,-0.2,Deflation or price easing
Kelantan,Kelantan,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.9,0.0,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.1,1.3,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,5.9,0.0,High pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-0.5,2.6,Deflation or price easing
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.4,0.0,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,0.8,-0.3,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,3.1,0.2,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,4.7,0.7,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-1.1,-0.1,Deflation or price easing
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.8,0.1,Deflation or price easing
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,6.6,3.3,High pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,4.3,1.9,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
W.P. Kuala Lumpur,Kuala Lumpur,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.5,1.1,Moderate pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,2.2,1.7,Moderate pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-1.5,0.1,Deflation or price easing
W.P. Labuan,Labuan,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.2,0.0,Moderate pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,-2.6,0.1,Deflation or price easing
W.P. Labuan,Labuan,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,3.5,0.0,Moderate pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,4.8,-0.7,Moderate pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.4,0.0,Deflation or price easing
W.P. Labuan,Labuan,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,0.1,0.1,Moderate pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,6.3,2.8,High pressure
W.P. Labuan,Labuan,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,-0.3,-0.3,Deflation or price easing
W.P. Labuan,Labuan,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,-0.4,-0.4,Deflation or price easing
Melaka,Melaka,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.9,1.5,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.4,-0.1,High pressure
Melaka,Melaka,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-5.2,1.8,Deflation or price easing
Melaka,Melaka,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.0,0.0,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,0.2,0.3,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,2.1,0.1,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,3.7,0.4,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-0.8,0.1,Deflation or price easing
Melaka,Melaka,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,1.7,0.4,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,4.2,3.0,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,3.7,1.2,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
Melaka,Melaka,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.2,0.1,Moderate pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,4.3,1.1,Moderate pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.3,-0.1,High pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-0.7,1.0,Deflation or price easing
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.0,0.0,Moderate pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,0.7,0.4,Moderate pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,7.1,5.3,High pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,5.1,0.5,High pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,0.1,0.1,Moderate pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.8,-0.1,Deflation or price easing
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,0.7,0.4,Moderate pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,5.6,2.2,High pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
Negeri Sembilan,Negeri Sembilan,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
Pahang,Pahang,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.4,1.0,Moderate pressure
Pahang,Pahang,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.9,0.0,High pressure
Pahang,Pahang,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-1.0,0.0,Deflation or price easing
Pahang,Pahang,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,0.9,0.0,Moderate pressure
Pahang,Pahang,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,-0.5,0.4,Deflation or price easing
Pahang,Pahang,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,-0.7,0.2,Deflation or price easing
Pahang,Pahang,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,3.5,0.3,Moderate pressure
Pahang,Pahang,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-0.7,0.0,Deflation or price easing
Pahang,Pahang,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.3,-0.2,Deflation or price easing
Pahang,Pahang,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,1.8,1.1,Moderate pressure
Pahang,Pahang,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,4.1,1.5,Moderate pressure
Pahang,Pahang,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,1.2,0.0,Moderate pressure
Pahang,Pahang,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,2.7,0.0,Moderate pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,4.6,1.2,Moderate pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,5.8,-0.2,High pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-3.2,1.9,Deflation or price easing
Pulau Pinang,Penang,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,0.6,0.0,Moderate pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,-0.7,0.8,Deflation or price easing
Pulau Pinang,Penang,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,4.5,3.3,Moderate pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,4.7,0.3,Moderate pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,0.0,0.2,Moderate pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.9,-0.4,Deflation or price easing
Pulau Pinang,Penang,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,1.8,0.1,Moderate pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,5.7,1.3,High pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
Pulau Pinang,Penang,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.7,1.3,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.7,1.4,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.3,-0.1,High pressure
Perak,Perak,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-2.5,-0.1,Deflation or price easing
Perak,Perak,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.8,0.0,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,1.8,1.3,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,1.2,0.0,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,3.4,-0.1,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-1.0,0.1,Deflation or price easing
Perak,Perak,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.9,0.0,Deflation or price easing
Perak,Perak,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,0.3,0.0,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,3.2,1.2,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,1.4,1.1,Moderate pressure
Perak,Perak,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.6,0.5,Moderate pressure
Perlis,Perlis,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.7,1.2,Moderate pressure
Perlis,Perlis,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,7.4,0.0,High pressure
Perlis,Perlis,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-2.7,0.8,Deflation or price easing
Perlis,Perlis,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,5.1,0.0,High pressure
Perlis,Perlis,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,0.9,0.3,Moderate pressure
Perlis,Perlis,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,1.9,0.0,Moderate pressure
Perlis,Perlis,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,4.9,0.3,Moderate pressure
Perlis,Perlis,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-0.4,0.0,Deflation or price easing
Perlis,Perlis,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.5,0.0,Deflation or price easing
Perlis,Perlis,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
Perlis,Perlis,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,2.8,0.4,Moderate pressure
Perlis,Perlis,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,7.9,7.9,High pressure
Perlis,Perlis,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,3.7,1.4,Moderate pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,2.8,1.4,Moderate pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,7.5,0.0,High pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-9.3,2.6,Deflation or price easing
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.1,0.0,Moderate pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,1.6,-0.4,Moderate pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,1.3,5.2,Moderate pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,5.2,1.1,High pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,-1.3,-0.1,Deflation or price easing
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-1.1,0.1,Deflation or price easing
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,1.7,1.3,Moderate pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,6.2,6.1,High pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
W.P. Putrajaya,Putrajaya,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,-0.2,1.5,Deflation or price easing
Sabah,Sabah,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,4.4,1.7,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,6.8,0.1,High pressure
Sabah,Sabah,2011-01-01,2011,1,January,03,3,Clothing and footwear,Clothing and footwear,Other Consumer Price Index divisions,-0.3,0.2,Deflation or price easing
Sabah,Sabah,2011-01-01,2011,1,January,04,4,"Housing, water, electricity, gas and other fuels",Housing and utilities,Other Consumer Price Index divisions,1.2,0.0,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,05,5,"Furnishings, household equipment and routine household maintenance",Household equipment and maintenance,Other Consumer Price Index divisions,0.0,0.2,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,06,6,Health,Health,Other Consumer Price Index divisions,4.0,2.5,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,07,7,Transport,Transport,Other Consumer Price Index divisions,3.2,0.2,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,08,8,Information and communication,Information and communication,Other Consumer Price Index divisions,0.1,0.0,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,09,9,"Recreation, sport and culture","Recreation, sport and culture",Other Consumer Price Index divisions,-0.5,0.0,Deflation or price easing
Sabah,Sabah,2011-01-01,2011,1,January,10,10,Education,Education,Other Consumer Price Index divisions,0.5,0.5,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,11,11,Restaurants and accommodation services,Restaurants and accommodation services,Food-related pressure channels,2.3,0.9,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,12,12,Insurance and financial services,Insurance and financial services,Other Consumer Price Index divisions,0.0,0.0,Moderate pressure
Sabah,Sabah,2011-01-01,2011,1,January,13,13,"Personal care, social protection and miscellaneous goods and services",Personal care and miscellaneous services,Other Consumer Price Index divisions,1.0,0.2,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,01,1,Food and non-alcoholic beverages,Food and non-alcoholic beverages,Food-related pressure channels,3.1,0.8,Moderate pressure
Sarawak,Sarawak,2011-01-01,2011,1,January,02,2,Alcoholic beverages and tobacco,Alcoholic beverages and tobacco,Other Consumer Price Index divisions,4.9,0.0,Moderate pressure
