state,state_display,year,indicator,indicator_order,indicator_value,indicator_value_label,exposure_score,overall_exposure_score,indicator_meaning,unit,food_crop_planted_area_hectares,food_crop_production_tonnes,fish_landings_tonnes,population_thousand,pressure_band
Kedah,Kedah,2020,"Fish landings per 1,000 residents",3,63.06652904194426,63.1,74.24605750933927,41.79204149334289,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",229987.8,1000215.0,134420,2131.4,Higher exposure
Kedah,Kedah,2020,Population,4,2131.4,"2,131.4 thousand",29.514588436508056,41.79204149334289,Higher values mean stronger demand pressure,thousand people,229987.8,1000215.0,134420,2131.4,Lower exposure
Kedah,Kedah,2021,Food inflation,1,1.25,1.2%,34.562211981566826,46.020324045083434,Higher values mean more price pressure,%,228241.1,1004164.8,122828,2151.7,Moderate exposure
Kedah,Kedah,2021,"Crop production per 1,000 residents",2,466.68438908769815,466.7,50.54920571684266,46.020324045083434,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",228241.1,1004164.8,122828,2151.7,Moderate exposure
Kedah,Kedah,2021,"Fish landings per 1,000 residents",3,57.08416600827253,57.1,69.25764930592297,46.020324045083434,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",228241.1,1004164.8,122828,2151.7,Higher exposure
Kedah,Kedah,2021,Population,4,2151.7,"2,151.7 thousand",29.71222917600127,46.020324045083434,Higher values mean stronger demand pressure,thousand people,228241.1,1004164.8,122828,2151.7,Lower exposure
Kedah,Kedah,2022,Food inflation,1,3.6916666666666664,3.7%,6.451612903225806,37.476883286764846,Higher values mean more price pressure,%,226901.5,980959.4,140866,2163.1,Lower exposure
Kedah,Kedah,2022,"Crop production per 1,000 residents",2,453.4970181683695,453.5,47.843851784701194,37.476883286764846,Lower values mean weaker local crop capacity,"tonnes per 1,000 residents",226901.5,980959.4,140866,2163.1,Moderate exposure
Kedah,Kedah,2022,"Fish landings per 1,000 residents",3,65.12227821182563,65.1,65.89710887101722,37.476883286764846,Lower values mean weaker seafood supply,"tonnes per 1,000 residents",226901.5,980959.4,140866,2163.1,Moderate exposure
Kedah,Kedah,2022,Population,4,2163.1,"2,163.1 thousand",29.714959588115164,37.476883286764846,Higher values mean stronger demand pressure,thousand people,226901.5,980959.4,140866,2163.1,Lower exposure
